UTTERANCE,LABEL
okay I have a hoof print a sailboat a house and then a sideways sailboat,0
its the second shape too,0
got it,1
got it,1
I have a um fox a baseball field the weird animal shape I think its going to the right and then I have like a hand puppet going downward,0
got it,0
I have a rubber duck a flamingo a crab a hummingbird,1
I didnt have a rubber duck a flying bird a dragon as a swan,0
got it,0
have a birthday cake a weird sailboat and aero ok the second sailboat or the fur of a birthday cake right side up weird sailboat aero and then sideways two sailed up and down,1
got it,1
and the triangle square the rocket ship the weird sailboat and then like the shapes falling off,1
got it,1
I have a house I have a plant in a square box a tepee and an  arrow  going right,0
yeah I have a house I have a plant like thats in a box a tepee and then like chevron going to the right,0
got it,0
I have a duck a big flying bird a dragon and a crab,1
ok so its butler right side up lady sideways lady and then skydiving guy,1
okay got it,1
I have an apple a parallelogram a houseboat and a triangle with cutouts ,0
I got it,0
I have a dog I have okay dog going down or dog going to the left an arrow going upward in the last weird shape,1
yeah,0
got it,1
okay the weird terrier thing going to the right a cat in alpaca and then a cat laying down so the second the second picture is a cat standing the fourth picture cat lying down,1
got it,0
a person reading or praying a got a square body guy walking down whereas the ninja kicking upwards and then the arrow head,1
got it,0
I have a three sail sailboat I have like a chair with no leg I have the house with the little chimney and then I havem like a flame,0
does the third shape have a triangle foot,0
got it,1
I have the person like laying down reading it the dancing salsa lady I have the guy with the triangle body running upward and then the person thats going to the right,1
so the first one is like a kind of an upside down boat with a block on,0
ok got it,1
okay I have an up sit down loch ness monster a skinny crow a fat crow and a swan,0
what are the first two,0
got it,0
I have a baseball field a fish going downward a fish with its mouth open going upward and hten a cat,1
I have a butler on one foot I have a large man running upward with a like skinny body or like no body then I have the square bodied guy thats going upwards in the model with the weird body,1
got it,0
I have a guy laying in a coffin I have the lady with the handkerchief I have the dog person and then the guy with his legs spread apart,1
I got it,0
okay I have a guy like holding a pizza to the left a guy with his legs spread apart the model walking down ward and then  the fetal position,1
got it,0
okay I have a large man running to the right I have a like a somersault guy crouched over I have a skydiving person and then I have guy completely upside down,0
okay got it,1
okay I have an arrow pointing to the left I have a bridge then I have a bigger bridge and then I have its like the last weird shape its got like a triangle like pointing upwards and then theres like a square cut out,0
ok got it,1
ok I have a fish going downwards and then I have a fox and then I have a two like triangles on top of each other with a diamond on top of that and then I have this weird like slanted rectangle with like triangles coming off of it,1
is the fish the arrow one,0
okay got it,0
I have a person completely upside down with hes holding a triangle and then I have a it almost looks like a man like like laying on a sled like going upwards and I have a guy in the fetal position and then have the dog person,1
okay got it,1
