UTTERANCE,LABEL
good morning,0
yeah the running man is a little out of style but I got it,0
thats right yeah,0
got it,1
okay so I got um the crab and then beneath that its a ram then beneath that its a doggie and its got a head and tail and three legs and then the last one only has three legs and looks like hes lifting one up to pee,0
did you say whores head,0
its excellent form of cubism,1
all right so maybe we did that wrong,0
they do look like theyre kissing its-- its pretty cute,1
all right so i got this secret skeleton key that unlocks this jug but when you open up its a crab and he knows how to drive a speedboat,0
could the third one also be construed as a stork or a pelican,0
all right i think i think i got it i dont know,1
okay so i got the teapot and then the sailboat with the touching triangles and then the triangle square and then the sailboat with in the non touching triangles,0
its the lazy bird,1
all right so I have this Russian and he just got promoted to private on his birthday but hes an astronaut so theyre going to put them in a rocket,0
yeah,1
ok does the third one look like a person,1
a classic story of a bony o in julie cat,0
yeah yeah missed opportunities,0
its not about the size of the triangle its how you use it,1
yeah,0
ok I think I got it,0
I dont know what it looks like thats not quite how Id describe the but the third one just looks like shapes theres a giant theres a square on the bottom and a rhombus to the r on this yeah around promised to us,1
ok,1
you said it looks like a llama I think it looks like a Batman mask or something like that I could just how batman on the mind but yeah that ones first and then its the guy kicking and then its the girl in dress and then its the person doing splits upside down,0
okay got it,1
which house has the arrow on the left,0
ok got it,1
alright I have the waiter the person with triangle arms running and then the triangle bodied person and then the handkerchief holden lady,0
America,1
for the boat the pipe the the big,0
all right i dont think i have this foot maybe,0
I have the the the first one is the it kind of looks like a dog has a rhombus tail and the trap guy trapezoid had two left and then the next one looks like the ram I guess and then the fish and the last one looks like a cat,0
got it,1
got it,1
all right i got the half christmas tree the snowman the boat and then the arch with two missing,0
right I got upright triangle body upside down triangle body kicker and then the dancing dress lady,0
all right i got the um upside down mountains the unfinished desk the upright triangle and then the shapes,0
okay,1
I got the jug half christmas tree crabs feed speedboat,0
got it,1
um the I thought I got that right from the third one it just looks like them it doesnt look like hes catching a triangle I think the second one looks more like hes catching the triangle like handing the triangle over,0
the second one,0
got it,1
I got the guy laying coffin upside down triangle bodied normal triangle bodied and then the fetal position,0
got it,1
got it,1
okay I got upside down triangle body right side up triangle body dress and then the waiter with the tail,0
ok I think Im the mixed something up what was your very first one,0
affirmative,1
all right so the first one is the upside down flamingo looking backwards then the flying bird then the swan with feet and then the monster,0
like the singer Seal,0
I gotcha,1
all right so i got the turtle the tornado the schnauzer and then the monster,0
I got you,1
okay i have the two shapers the unfinished desk the sailboat and then the mess of shapes with the triangles and why,0
yeah,1
okay I got the a woman thats not in the dress at the very first one the man with a very long arm and then its the upright woman in a dress and then the sideways woman in a dress,0
did you get that,0
I believe this is a correct sequence,1
all right so i got the big old block and then the sailboat and then the steamboat ish and then the speed boat if you need any clarification just let me know,0
ok I hit done,0
alright does your first dog have like kind of a triangle ear thats not attached to the head,0
alright friend I believe I have that,1
okay so I got the um backward looking flamingo also looks like a stork depending which way you have the head and then the bird with a long tail to the side then the upside down bird with a long tail and then the crow,0
I got it,1
yeah the last one his name is chris its uh christopher walken,0
all right i got the pipe the bridge the apple the diamond,1
all right that last one isnt quite a trapezoid but i know what youre talking about,1
okay so I have the sailboat with messed up sales the upside down mountain the windmill and then the just blah blah blah can blah blah and shape,0
yes I have all of the shapes in the corresponding areas,1
all right i got the flying bird the crow the duck and then the monster,0
yep I got gotcha,1
you say the second boat has a triangle on it,0
I got it,1
got it,1
um I have the lady in the dress triangle body dude man with a triangle and then Chris,0
gotcha,1
all right i got the jug the kiwi the triangle with missing m and then a whole bunch of triangles,0
all right so theres this apple right and then under that theres a bridge and its got two missing spots and then beneath that is the palm tree and then after that were just going to stay on the tree kind of topic and it is a half christmas tree,0
okay,1
all right so theres this guy and hes running but hes also got a tail and so they think hes a wolf man and so he like runs extra fast so to catch them this guy has to ride his bike and like her they are and go and catch him and behind him to like make sure that hes going to do it is this block body guy actually yeah yeah its the block body guy and so hes walking just making sure but what theyre really trying to do is get this other triangle body guy to run and you know,0
got it crunchy no,1
all right the first one i have is a swan its a black swan it doesnt quite look like natalie portman but there is a resemblance after that theres the backwards looking whatever but you know if you want to call the pelican ill call the pelican then its the upside down flying bird and then its the rooster,0
no no no no no no not done done,1
all right the first one is a sailboat and its sailing on top of the sea and then after that theres an arrow pointing where it should sail and its sail into home plate,0
yeah man that really took an m night shamble on type of twist,0
youre middle two again please,0
yeah yeah got it,1
all right so we got this this hammer and it looked pretty hammered but it was made to build the sailboat and the sailboat is like upright and it has three sales looks like a sailboat forty seven knots all right and then its the same exact pictures a second one only sideways and then its the last one,0
the okay,1
does the second one have a really long neck,0
theyd be neck in yeah got,1
all right so we got a couple of gymnast over here and there being all crazy the first one is the tumbling routine simone biles shes doing her shes doing the biles and then we have a loser you know im saying sliding upward toward simone its like im a slide into her dms and then after that we got hussein bolt just run in with this trying alarms and then the last one is some famous bicycle her away dave mira,0
cake cake cake cake cake cake,1
okay its now ten minutes just in case you were wondering but we got some some pretty racist stuff going on over here so these white people came over on this boat are like hey were going to kick all of you native americans out and theyre like no way and then Abraham Lincoln came over is like Im going to emancipate you and he did that by playing a sweet tune on the job,0
I got it the black crows,1
okay I got a whole bunch of birds here first one looks like a bird in the second one also looks like a bird of the first bird is a small flying bird upward and then the next one is like a raptor skull long tail its going to eat some some some and then we got the big bird flying downward and then we got the upside down a,0
alright homie so I got the rocket ship and then underneath that is the ram then the fox and then if you tilt your head to the right it looks like a batman swimming upward,0
I have that,1
all right so theres this sailboat right and it was transporting a whole bunch of animals so inside there was a hoof print and then they ran into another sailboat but interestingly enough that sailboat was captained by abraham lincoln,0
that is correct good guessings,0
okay can you repeat that again I got a query,0
okay I got it,0
I did,1
good job on answering the question um all right lets just start off with saying the bridge is first the two are shiz taken out and then its the eraser then a half christmas tree and then it looks like a bejeweled or whatever,0
girl i got all dem,1
mhm mhm yep yep mhm,1
okay so heres another story coming at you so theres this this lonely cat thing and he was really hungry so he went fishing and but during his fishing there was a tornado that came through it was like whoosh and its the tornado came from africa so there is a giraffe that was displaced,0
lets hear a story Chelsea,0
perfect you paint pictures with words better than monet paints with paint,1
gotchu,1
alright so this old guy hes just sitting there smoking a pipe on christmas and then hes like you know Im feeling a little hungry so he gets this apple and is like you know what this would be really good and if I just cooked this on top of this grill and wow does this grill look like a bee,0
okay I think I got that,0
they sound friendly,1
ok um I have this archway and this guys like trying to escape on his boat and hes like going through the archway and then but hes being chased by a bowl of rice and chopsticks and to get away he has to go into this mountain that has a secret doorway,0
