UTTERANCE,LABEL
ive got a rooster dragon and the crab and a seal,1
i have an upside down running guy i have a woman running down i have a big guy with big arm and then i have a person sliding up on its stomach,1
go on,0
a stupid slanted shape a cave a christmas tree and a pipe,0
got it,0
I got a hammer a candle a boat and an iron,1
thats a cake but I see that theres a candle on the cake,0
thats good deductive reasoning,0
i got a kick and a guy with the big ass-,0
fuck I hit the button guy kicking guy with the giant arm guy in the field position and the guy tipping his hat,1
watch your damn language,1
fuck you,0
I have uh Lance Armstrong the next guy looks like Brock Lesnar then I have uh Simone Biles and then I have a big big shape hopefully that helps,1
God I hope I got this,0
a i did. ok I got uh hummingbird thing a crab a flamingo and a snake,1
got it,0
I have a crow a swan a hummingbird and then like a Loch Ness monster thing,1
kerner,0
i have a bowl a boat a scot and a bunch of triangles,1
i said watch your language geez but I got it,1
got it,0
Ive got a weird sailboat a butterfly a speed boat and a tp,1
got it,0
I have a hummingbird Loch Ness Monster uh flying bird upside down flamingo,0
I have that too in a different order but I have it,1
Ive got a fish swimming into a camel and then a llama whos looking at a giraffe,1
its beautiful i love nature,0
Cool,1
i have a boat thats right side up then in inverse of said boat then a giant japanese like castle and then a triangle,0
spot on,1
got it,0
ive got mr freckle fox and then I have a giraffe who is very disgruntled with the bunny beneath him and then a hand puppet is just chillin,1
I have this triangle and it looks like someones trying to stuff the triangle into the vase below it but thats not going to happen that doesnt make any sense then I have a bridge and living under the bridge is a japanese castle monster,1
beautiful,1
okay I got this cave and it doesnt know if theres a weird ass shape beneath it and theres a boat who is leaving home plate,0
wow baseball sure is complicated,1
I have a big flying bird flying diagonally uh to the top left corner of his white box that he lives in I would say that hes at an angle of about forty two percent percent-- degrees oh my god thats embarrasing anyway below that is an upside down flying bird and then a rubber ducky and then a bird flying up,1
got it by the way thats a hundred and forty,0
says you,0
Im left handed so its different,1
left stupid friend okay so I got a bottle on top of a samurai helmet and beneath the samurai helmet is half of a stop sign probably in his face and then theres like a little little newspaper sailor hat,1
got it,1
got it,0
okay so I got this rooster whos falling onto a dragons back the dragon just killed a fat crow and theres a bird hes like "aw shit" gotta get outta here,1
makes sense and did you know a roosters evolved from dragons I saw that on discovery,0
I did not,1
now rushmore of,1
okay i got a t rex and hes a germaphobe and hes freaking out because he had this ram and this ram had crabs and then this squirrel is like whoa,1
yeah I got that,1
beautiful i got this,0
oh,1
i got it you could say its a waterfowl,1
thats on you,0
got it,1
the seal of approval,0
okay so ive got this apple the forbidden fruit falling into the triangle that is represents mans three virtues which were not going to discuss because it trapped in a castle and theres a boat beneath the castle to escape,0
Ive heard of a scapegoat but an escape boat,1
got it shouldve listened,0
okay so I got this dumb balloon which is falling onto this toros whos about to be rammed up the stomach by a fish that got shut out of the blowhole of that whale,1
like in finding nemo and up,1
I got it,1
got it,1
so I got this thing called the eraser and got gandalf spite and then I got a natural bowl and then got this rectangle thing with one of the corners missing,1
my button oh there we go I fixed it so I got a I got a Tony Hawk I mean sorry tomahawk uh I got a iron and then I have a Russian dude and I have a your symbol for hot soup,1
got it,0
so I got this house I got an avalanche I got a guy that looks like an indian upside down and then I got a candle upside down,1
got a pine tree and a trapezoid and an eraser and a sombrero nacho attack,1
did you press done,1
I didnt press done sorry so I have this guy that has a big triangle body and then I have this guy running downward and then a guy I think we call it jumping JT Hitler and god out Jesus scare the crap out of me alone,1
did Hitler sneak up on you,0
a little bit and then I have a guy running with the fat leg behind him,0
cool,1
I got a two nacho bowl I got a sombrero I got a a little triangle with thing in a pine tree,0
got it,1
I got a loch ness monster with a dog inside of a llama which is inside a little chipmunk,1
I got a two nacho bowl a capital b a boat and a tree,1
I didnt order a two nacho bowl I ordered a one nacho bowl Jesus hard to get good help around here,1
so I got this lady doing a cha cha in a dress and then I got a guy upside down with in their head the first one that has arms a third one is the lady doing the cha cha with no arms and the last guy is Chris,0
cool,1
I got a using crabs I got a got a air bud the running to the right then I have air air bud taking a dump and then I have a squirrel I think you called it,0
yeah I called it,1
and I got Mr. Crabs I got batman swimming I got upside down bird lying and then I got a a pelican slash flamingo looking backwards,0
cool,1
I got I get a boat a bong a pipe and a tree half,0
say that again I had a query sorry,1
no youre on your own I will never say it again I will never tell you about the boat bong pipe and tree,0
thats weird okay,1
so I got I got a shovel and arrow and I got a regular arrow I got a sailboat and then I got an Eiffel Tower,1
you said an eyeful I mean mouthful,0
I got Joe camel I got roger rabbit I got ramrod and I got fish,1
got it I think,1
awesome I got hot soup I got pac man eating Louisiana I got the two nacho bowl and I got a sombrero being attacked by nachos,0
I too think I have that,1
so I got the squirrel chasing a whale and the whale thinks the fox is cute but the fox doesnt want that whale because its vertical he wants the upside down whale,1
got it,1
your bad I got I got a Tony Hawk I got a house arrow got an avalanche and I got point pointy,1
sorry I was insulting you can you say those again,1
I knew that the first time idiot,0
youre stupid,1
we we already know that nothing new I got a spaceship I got like arrows pointing to the left I got pac man eating Louisiana and then I got two nacho bowl,0
thats a bold statement,1
I got a three nacho bowl I got a two nacho bowl I got a boat and I got a pointy doodad,1
okay so listen here I got a spotted fox very rare I got this weird looking dog its even weirder and more rare I got batman swimming thats extremely rare and then I got a whale which isnt that rare,1
cool man,0
I got a letter c I got a vase and home plate and a trapezoid,1
I think I got it,0
what do you mean you think,0
I dont think,0
I got a rear real real hold on,1
I got a were rear ruled dual wheel fox then I got a bunny and then I got a horse looking thing and then I got a goat,0
oh I see that go I goat see yes ok,0
I got a tepid teapot have a Native American have a two nacho bowl and a house,1
would you say the house is very small,0
no,1
then I have it,0
had upside down flying bird bird flying toward the upper left corner and got a fat ostrich or raptor I got a crow,1
fat ostrich sounds like a weird rap euphemism,0
could be,1
got a rooster a loch ness monster a a raptor and a big bird,0
kay,1
I got a weird looking dog I got a bunny a cat and then I got crabs,0
got it,1
I have the big bird I have the turkey bird thing so it looks like the two birds are kissing or pecking I got a flamingo and a dragon,1
yo I got crabs again I got a turkey looking bird I got batman swimming I got seal,1
hello I have a hummingbird I have a swimming bird I have a flying bird and a standing bird,0
I got it,1
I have a dead guy I have a guy flying up into the dead guys butt I have a lady waving her handkerchief and then I have a thing,0
correct,1
I have a fish I have a crab I have a dog going to the left and a dog going to the right,1
gord it,0
I have a sailboat next to a house next to an iron next to a house without a chimney,0
got it,1
I have a triangle and rhombus combination I have an arrow standard arrow then I have a military arrow a militarrow and the fourth thing is a triangle with an m cut out of,1
a marrow and I got it,1
did you hit done,1
I have a bridge a butterfly a boat and half a stop sign or actually a little less than half,0
say it again I was doing a query,0
query I have a bridge a butterfly a boat and a little less than half a stop sign,1
that is the correct proportion of a stop sign Im glad that you fixed that,1
hey man I have a a a rabbi I have a tortured toll I have a a a a rom and then I have a dog,0
um its an impala,1
I want to be a baller shot collar twenty inch okay,1
that was weird anyways I have a fish an impala with a shock collar then I have a dog and a baseball diamond,0
got it,1
hey man I have the a b as in boat and then I have a boat then I have a another boat this particular boat is going down as it is not a boat that is afloat and then a trap trapezoid,1
got it,1
I have a bird upside down a bird sideways a bird right side up and then a bird with wings,1
yo I got that,0
hey man I got a swan got a crow I got a thing I think people call it a raptor I dont see it and then I have super shredders arm,1
I think it was paul cauldron but you know whatever,1
no its literally his arm,1
I think the person with the tail is uh is uh Ryan Lochte I only know like three olympians I keep saying the same names ,1
hey man I got a uh I got a rabid seal who just decapitated a Native American and to get away with the crime hes hopping on his sailboat with two triangles that are facing the same direction realizing of course thats a terrible way to sail and he got on the other boat,0
cool story bro,1
I got a key which unlocks this wardrobe to a cute little sailor hat and then in comes the sailor but dies because he hit an iceberg,0
tragic,1
yo man I got the i got the eye of sauron when its falling down after frodo destroys the ring I got I got a dog on his hind legs I got a lion taking a dump onto a rams head,1
got it,0
Ive got this bird thats flying upside down because its dumb and then Ive got a rooster theres crabs and then a dead crow,0
got it,1
seventy percent huh anywhozle I got a woman laying on her back with her arm up I dont know why shes probably like bring me food and then I got this guy laying on his stomach with his arms down and hes probably like no Im not gonna bring you food Im trying to sleep got this guy with the Chinese hat sitting down he was like Ill do it and then theres a big blob of stuff,1
okay cool and I think that top ladys pointing at the stars,0
you romantic,1
okay so Ive got a boat thats going to hit another boat thats upside down this first boat has like two sails that are the same thing youve got that military symbol indicates that youre private and this information is private that this next boat looks stupid,1
listen listen I know I said got it but I lied anywhozle I have a bridge going under the bridge is a boat if you look closely at the sail of the boat it looks like a triangle which is next but if you look at you know the other sail closely it looks like home plate,0
got it,1
okay so I got this boat this boat was built by a hammer and then it hit this iceberg which could be viewed as a mountain or whatever then everyone turns into gremlins I dont know,0
got it,1
yo man so so the eye of sauron is falling down but but super shredders like second in command of sauron so now super shredder is taking over and he instead of an army of whargs and orcs he has an army of rams and foxes,1
whats up,0
do you have it,0
yeah,0
just be nice to hear from you sometimes,1
okay so Ive got this loch ness monster who doesnt know that theres a fox about to bite him in the stomach and this is like old cat is like I remember the war and the bunnys like dad please,0
does this old cat not have a tail that he because he lost it in the war,0
no he just like to hide it,1
okay I got it,1
Charlie Tuna ok whats up bro you so this one time Abraham Lincoln Abraham Lincoln grew up in a log cabin but he didnt know they also had a log boat that looks like a log cabin but its a boat and then when he became president he could afford an actual boat that sails on it but then he died and I bet there like a horse involved because theres a footprint,0
cool I got that,1
okay so one time I used this eraser to erase half of an apple and then I threw it into a pot and then threw that pot into the bridge but dont tell anybody,0
the perfect crime,1
so this one time my cat jumped in the christmas tree and he knocked it down so then we took the cat and we erase them from existence and then we threw them off a bridge even though he was erased,0
neato,1
okay so this one time I was running upside down like with my arm out and I was racing against Haley who is on a knee board this is back when she was pregnant by the way and then Chelsea fell from the ceiling and jt was just laying there like what,0
dude I remember that day it was really stupid,0
ok I have a house a hammer Abraham Lincoln and a tetris thing,0
got it,1
Ive got a pipe scissors slanted square half a christmas tree,0
could you say that again I couldnt hear you,0
yeah I got a pipe scissors slanted square half a christmas tree,1
okay got it,0
okay I have Abraham Lincoln hammer um a house with a chimney and then a house like on a hill like with the flat roof,1
got it,0
I have a flamingo a dragon and then the bird with a tail and then the flying bird whos flying down,0
got it,0
okay I have the loch ness monster thats like right side up and upside down loch ness monster big flying bird and then a sparrow,1
got it er let me unspeak damnit,1
alright Ive got a flamingo a seal a flying bird and a crow,0
got it,0
christmas tree house birthday cake windmill,0
got it,1
fetal position splits weird ass shape guy reading a book,0
flamingo upside down but it has like a weird wing coming out of it like triangle wing going to the right rubber duck then a flamingo with like a full triangle foot and then the loch ness monster,0
got it,1
right Ive got big triangle arm guy lady like kneeling and praying or something a person doing the splits guy with a square chest,1
got it,0
speed boats sailboats cave thats like circular kinda looks like a c and then like a yacht or another cave,1
um boat letter c bridge pipe,0
I got it,1
guy running to the right guys splits guy weird shape and then big triangle body guy,1
got it,0
boat eraser batman mask tree,0
okay this big sparrow bird thats going downward and then the sparrow going to the left and then flying duck,0
got it,1
Abraham Lincoln hammer Native American avalanche,1
got it,0
okay a guy holding a pizza its kind of blurry picture race car guy going upward than the somersault guy and then the guy reading a book,1
got it,0
yacht half apple half christmas tree half apple,0
got it,1
pot christmas tree letter b sailboat,0
got it,0
brewster dragon duck loch ness,0
got it,1
um flamingo chicken with a long tail flying bird hummingbird,0
got it,1
speedboat stop sign palm tree scissors,0
got it,0
swan crow hummingbird thats going to the bottom right corner hummingbird going to the top right corner,0
got it,1
did you hit done,1
yeah I was answering a query,0
avalanche birthday cake triangle square house,0
got it,1
seal candlestick houseboat house,0
got it,0
bunny fox giraffe crab,0
got it,1
crow flamingo seal to the left seal down,0
got it,1
a woman with a handkerchief facing down weird crab shaped thing handkerchief to the left guy tipping his hat,0
got it,1
fat crow flamingo looking back duck flamingo looking back but its going upwards the second shape is completely upside down flamingo,0
got it,1
Russian seal house houseboat hammer,0
got it,1
giraffe whale slash tornado turtle loch ness monster,0
sorry I didnt get that,0
a giraffe oil turtle loch ness monster,0
got it,1
a bird flying down hummingbird bird with a tail flamingo,0
got it,1
sorry I have an arrow going up a rocket ship going to the right um a ram and then it kinda looks like a dog,0
got it and god bless you,1
Ive got a big sailboat sailboat with two sails Native American double arrow,1
loch ness monster flamingo flamingo looking back seal,0
got it,1
big arm guy go kart guy weird blurry thing guy running up,0
got it,1
sailboat upside down boat with cargo flame thats sideways flame thats like straight up and down,0
got it,0
a thread spool hammer  russian hoofprint,0
got it,1
camel bunny loch ness monster two triangles on top of each other,0
got it,1
flamingo flying bird rooster loch ness,0
got it,0
rubber duck chicken with a long tail flamingo looking back crab,1
guy kicking upside down guy with hand out woman with both her hands out guy doing a somersault,0
got it,1
I have a dog going to the left an ant eater a cat and a chipmunk,0
got it,1
ok Ive got a bird flying up rubber duck sideways rubber duck upside down bird flying to the left,1
have a sparrow a big bird a flying bird a dragon a chicken with a long tail,0
I think I got it,1
Ive got a crow a bird with a crunched up neck a crab and then a dragon,0
Im sorry can you say that again,0
yeah we got a crow a vulture thing crab and then a dragon,0
got it,1
I have the back of a cats head a triangle a speed boat and a palm tree,0
got it,1
arrowhead guy girl with a handkerchief somersault guy running,0
it looks like hes dancing but I got it,1
the flamingo upside down a hummingbird a loch ness monster and then a flying bird,1
bicycle guy guy running up weird shape square chest,0
got it,0
crow flamingo crab seal,0
got it,1
arrowhead long arm guy on his stomach guy sprinting,0
got it,0
camel fish going downwards if you turn your head to the right the third one kind of looks like an indian or a robot to me and then if you keep turning your head to the right the last onekinda looks like pluto,0
which one has like if youre looking at it normally which one has a mouth open,1
the third one I think,0
all right i got it,1
Ive got like a squirrel a bunny a camel and a bear,0
sorry uh repeat that,0
squirrel bunny camel bear,1
got it,0
I have a house i have an upside down sailboat a bunch of little triangles and a Russian guy,0
got it,1
okay I got a seal i got a swan uh upside down flamingo and a raptor,0
got it,1
seventy percent okay I got a dragon upside down flamingo sideways flamingo and then a big bird,0
okay got it,1
got raptor flying bird duck flamingo,1
yeah its my turn come on now I got it upside down indian upside down indian seal sideways birthday cake and then a rocket,0
got it,1
oh now its my turn okay sideways sailboat a crab the eraser and a boat,0
finished,1
seventy percent okay I got a house an upside down little boat an indian and an axe,0
got it,1
i get,0
I got a whale a bunny a hand puppet and a dog,0
got it,1
oh I forgot my interruption I got a vulture raptor a flying bird and a rooster,0
got it,1
I got it right,1
you make me laugh hold on,0
okay I have a fox I have like a dog running to the left then I have a ram I think its been called and then I have this weird animal thats on one leg,0
its a prairie dog I got it,1
got me bunny open mouth fish swimming fish and a fox,0
got it,1
I have a parallelogram I have an apple I have a bridge and then I have a speedboat going downwards,0
got it,1
dancing lady walkin lady runnin man big man,0
I got it,1
speedboat arrow to the left sailboat eraser,0
stingray a squirrel a crab and a loch ness monster,1
wait you said stingray squirrel crab loch ness monster right is the stingray the thing that looks like a baseball diamond,0
yeah,0
okay I got it then,1
okay I have a fox I have a fish I have the what did you say prairie dog on one foot and then I have this weird last shape,0
got it,1
okay I got a triangle a waiter uh praying and a dress,0
got it,1
okay I have a flying person person with a triangle chest the upside down person and then the running person,0
got it,1
I got a triangle got an apple I got a boat and a slope,0
got it,1
christmas tree uh the bridge I have like the upside down slope and then the slope thats pointed up,0
got it,1
a boat racer bridge apple,0
effect,1
oh my god all these birds ok the top one is a bird with the triangle foot then we have like the bigger bird thats flying upward then we have the smaller flying bird that the traditional looking one going upward and then the big flying bird going down,1
ok triangle foot up upside down down,0
yeah I guess the said triangle foot and then the big one going up and then the smaller one thats upside down yeah and then the bigger one thats flying downward yeah,0
got it,1
I got a giraffe a dog a kangaroo and a fox,0
got it,1
I think its fifty knots not fifty percent dangit okay I have this key the speed boat the weird sailboat and then the ruby,0
got it,1
sailboat pipe triangle apple,1
giraffes the cat or the fox then the dog going to the left and then the dog with like the the square snout,0
got it,1
turkey vultures sea monster upside down and flying up,1
I got it,0
ok I got the pyramid the iron the desk and the Russian dude,0
got it,1
upside down sword man praying and then the a handkerchief,1
sword man praying then handkerchief right,0
yep,0
done,1
k I have a pot indian a sailboat and then whatever that three shape thing is,1
k boat pyramid bridge sailboat,0
ok so sailboats at the bottom and the first boat with the little triangles at the top right,0
got it,1
okay,0
okay I got the lobster I have the big flying bird upside down duck with the little feet and then the rubber ducky,0
got it,1
I got a house I got a boat one sail and then upside down with that thing called windmill and then the sailboat,0
done are you laughing at my rubber ducky,1
I was laughing at the lobster I thought it was a crab a racer a pot a triangle and the sideways racer what the first one looks more like a box I guess,0
last one looks like a rupee,1
okay uh say it again I was confused on the erasers and then I was thinking about so much I forgot where the others were,0
the first one pointing to the left the last one point to the right,0
so one racer is first and one was fourth what were the other two,0
a pot and a triangle,1
okay I think I got it,1
okay I have the vulture then the upside down vulture then the dragon then the seal,0
got it,1
one sail Russian oh snap well second ones sideways in the Russian right up and then a house,0
oh snap I got it,1
half of a christmas tree a key a palm tree and then the weird sail thing,0
got it,1
i i have like the sideways air force symbol kind of an upside down sailboat the house and then a sideways sailboat,0
what Air Force symbol looks like a footprint to me,0
okay then this year footprint print and my Airforce Symbol,0
alright now what are the other ones,0
all right well youre not going to tell me ill tell you what mine are and i have the footprint upside down sailboat house and then sideways sailboat,0
I told you didnt need me to repeat it sorry as I was listening to something my but thats what I have,1
alrighty uh hate these ones alright its the dog Jesus its the dog but with the triangle for feet front feet looking downward then the crab and then the dog on its hind legs,0
gotcha,1
a house boat upside down sailboat the upside down indian and then triangle going to the left,0
got it,1
I have teapot I have iron I have mountain I have upside down indian,1
Ive like a whale and then I have a dog facing the right then I have a fox and then a stingray or like the baseball field,1
ok,0
I have duck with two feet I have crab I have raptor or ostrich and then I have flamingo,0
got it,1
have a duck no legs a flamingo a crab and then a bird with really big wings,0
got it,1
I have ram I have headless dog I have fish arrow fish and then I have what looks like a regular fish,0
got it,1
I have a duck an upside down duck a bird flying down a bird with really big triangle wings and then upside down swan,0
got it,1
I have sitting down rabbit running down dog upside down whale ram,1
I have the birthday cake sailboat arrow and then sideways sailboat,0
got it,1
I have upside down mountain I have the triangle diamond and then I have Abraham Lincoln and I have the triangle with the piece missing,0
got it,1
I have an avalanche the triangle with the square the rocket ship and then a sailboat,0
got it,1
I have triangle speedboat palm tree sailboat,1
I have a house flowerpot triangle with a piece missing and then the arrow like a chevron thing,0
is the second one your flower slash shark slash Russian dude,1
all right i have upside down raptor flying bird going downward rooster upside down duck with two feet,0
got it,1
I have a duck no legs flying bird bird with really big wings and then a crab,0
got it,1
