UTTERANCE,LABEL
got it,1
I have a house on one side then the arrow to the right then the top hat and then the windmil,1
was there a c and then your pot right,0
i got it,1
oh jesus i have the smaller like turkey and the swan than the road runner than the bigger turkey its flying well its heads closer to the top right hand corner,0
got it,1
I have the I guess you caught crabs it looks like a x  and then the bird with the feet and the like loch ness monster thing or whatever and then the bird with the triangle body,0
did he tell you got it,1
got it,1
I seventy percent I have the person with a square head like the little kid or whatever and then the person on their one tip toe and the lady in a dress the person with a flat back,1
ok gosh damn it the top one does i have just the two triangles,0
okay I got,1
I have the apple and the b and then the sideways boat rectangle is missing two corners,1
got it,0
I have the upside down umbrella then the steamboat then the triangle and then the ramp,0
got it,0
i have the bridge and then the rectangle the two corners missing in the vase and then the mountains with a tunnel through,0
got it,1
I have the ramp and then the home plate oh okay so I have the bridge and then home plate and the ramp and the like triangle bridge looking thats missing like two spots in the middle,0
got it,1
i have the boat that has like three sails kinda and then the hammer and then the boat with the two sails and then the like square on the right hand side and then it has stuff coming out of,1
got it,1
i have the boat the pot  the house and i guess the fucking shark or something,0
I have the rooster and then the x and then the smaller turkey and the bigger turkeys flying towards the left,0
is your bottom or your top one the right like the right way and then the bottom one hes like his heads closer to the bottom left hand corner,0
no for one and three,0
one and four,1
okay so is your top one right side up and is your bottom one like sideways like his head at the bottom of the picture of the top of the picture,0
ok I got it,0
i have the upside down crow vulture thing but its heads closer to the bottom right and then upset the same upside down bird but its skinnier and its heads closer to the bottom left then this one and the triangle body bird,0
I got it,1
I have the oh hang on,0
I have the turkey and then the upside down vultures then the road runner and the triangle body bird,1
thats like turkey,1
got it,0
I have the turkey flying down then the triangled body bird and the dog and then the flamingo,0
I got it,1
I have the triangles pointing to the left and then the push pin and then the seal and then the iron,0
got it,1
I have the seal thats the right way and then the seal thats like turn to its side and then the vase and the hammer,0
got it,0
got it,1
I have the hat the house the seal and then the arrow,0
got it,0
I have the slip and slide the lady in the dress a person laying flat and then the just like weird shapes,0
got it,0
i have the house with the chimney then the side of the house with stairs then the iron and other like shapes,1
got it,0
the scissors and then the boat then the bridge and then the I dont know triangle with the top cut off i forget,0
got it,1
I have the speedboat then the boat with the two sails then the b the the I dont even know what its called but the triangle with no top,0
got it,1
the swan the like loch ness monster thing then a vulture then the roadrunner,0
got it,1
got it,1
I have the oh hang on,0
got it,1
got it,0
I have the like bridge and the baseball or the home plate and the triangle and then the boat,0
got it,0
I have the rocket ship then the like dog thing the Loch Ness monster then the fox,0
I have the Loch Ness monster then the fox on all fours then the fox on its hind legs and then the rabbit,1
um is the person falling kind of look like theyre running,0
got it,0
I have the big turkey the roadrunner a little turkey then the like Loch Ness monster thing,0
got it,0
I have the giraffe the stingray the bird the fox,1
i have the um cliff the boat the air force symbol and then the seal,0
i have the boat with the oh k and just like the like normal looking boat then the boat that has like a steam stack with an arrow on it than the nut shell and then the ramp or the bridge thing,0
got it,1
uh can you repeat this please,0
yeah,0
got it,0
I have the boat then the thing that goes top left to bottom right then the apple and then the triangle thing,0
got it,1
i have the apple the speedboat the sailboat the b,0
got it,1
I have the hammer the cliff the house the seal,0
I have the turkey then the flamingo and then the loch ness monster and then the other like flamingo looking thing and its heads like on the left hand side,0
okay my top ones the turkey then the flamingo then the rooster then the road runner,1
got it,1
I have the fox with the dots on it then the like ram then the whale then the squirrel,0
what was your top two,0
got it ,1
can you repeat that I was more concerned as to why my answer for my querey hasnt been graded,1
got it ,1
I got the okay so my top ones the lady with the dress but shes like facing the right way then my second one is a person like jogging and then my third one is the same lady as the first one but shes tilted and her heads her like hands are facing the ground and the person doing the splits upside down,0
got it,1
I have the swan then the like peacocks whatever has the like square body then the turkey a flying its heads in the top right hand corner and the same bird and its head is in the left hand corner,0
did you have the road runner first and the swan last,0
got it ,1
I have the weird looking like dog thing it has a triangle on the front and then two in the back and then what looks like its heads probably on the left hand side then the giant square with a little triangle in it and then the like bear and the other thing that has like two little triangles coming off each side,0
got it,0
I have the like eiffel tower and then the hammer and the windmill and then the shark thing,1
sector search I have the triangle then the key then the crab then the boat,1
got it,0
ope hang on,1
okay I got the x then the turkey then the upside down duck and then the like loch ness monster thing,0
your rocket ships first right,0
got it,1
I got the kangaroo then the dog then the girraffe then the rocket ship,0
I have the upside down umbrella then the arrow then the arrow okay so the top second first arrow is pointing to the left and the second one is pointing up and it has like triangles and stuff and then my last shapes like bridges the two poles missing,0
got it,1
got it,0
I have the snake and then the loch ness monster and then the peacock then the turkey,0
I dont see a sailboat anywhere,1
okay got it,1
got it,1
okay I have the like big roadrunner thing and then the swan and then the turkey and then the seal,0
and you suck for getting that wrong,1
I got it,1
the second one looks like an iron to you right it looks like an iron,1
I didnt get the bottom one,0
okay so does your second one then look like kind of looks like a dog but like not like it does it has a like a tail almost like a head in like the one like the back legs are like really thick and then the front legs like really skinny,1
yeah I got it,0
ok my top one is the flamingo my second ones like the roadrunner my third one is like the duck with feet and the bottom ones like the x,1
got it,1
okay got it,1
ok my top one is the duck with no legs and then the like turkey and then the flying bird and then the swan,1
I got it,1
okay my top ones the cake and then the sailboat with like one big mast and it has like a little triangle in the other corner and the arrow pointing to the right and the sideways sailboat,1
I got it,1
got it,1
okay my top ones a house with a arrow and then theres just like a square and then like a bunch of shapes and theres a triangle on the left hand side and then my third one its a triangle and it kind of looks like an m it has the like two triangle cut out of it and then my last one is the arrow kind of like without the line just like the sideways v ,1
got it,1
ok my top ones the duck its like swimming the second one is like the turkey but its like really close like its bigger and its like taking off towards the left my third one its like I dont know it kinda looks like a dinosaur or something it has two big triangles for wings and the last ones like the x,1
I got it,1
uh I missed the top two so can you just repeat them all please,0
I got it,1
ok my top one is the dog is like ears are just like a triangle and is facing the bottom or like down okay my first ones a dog facing down my second one is the arrows pointing up and then my third one is a dog like almost like pouncing on something and then the last one I dont know has two triangles in the bottom and then it has like a parallelogram the top right hand corner,1
I have the road runner thats hands closer to the top left and the duck and then have been upside down roadrunner,0
okay my top ones the snake then the camel than the turtle and then the dog,0
got it,1
the crab and then the upside down umbrella and the vase and then the bridge,1
okay I have the rectangle with the two corners missing this in the boat with the arrow on top the other boat and then the scissors,0
got it,0
got the key then the bird then the mountains with the tunnel through it uh trapezoid I think I dont know,1
got it,0
got it,1
uh the upside down duck the seal the turkey and then the flamingo,0
is it upside down,0
got it,0
the rabbit the cat the dog the rocket ship,0
got it,1
I have the duck the vulture the triangle body bird and then the turkey,0
got it,1
the rabbit the fox the rocket ship the llama,0
got it,1
I have the weird looking three legged animal then the dogs then the singer and the squirrel,0
got it,1
this being the the rate air the ramp the bridge the arrow,1
