UTTERANCE,LABEL
ok lets pray my button works this time so I have a sailboat with two sails facing right a hoof print a upside down sailboat and a barn ,0
I got it ,1
got it,1
I have a tugboat a upside down sailboat a windmill and um triangles,1
oh my god mine are in the same order,0
oh my gosh,1
I have a teapot a windmill an iron and a mountain,0
got it,1
I have a weird an animal with like a weird tale its kinda like bushy and curls under a fox a stingray and then a hand puppet,1
got it,0
I have a flamingo um a road runner chicken thing with a tail a duck and a turtle,0
got it,1
whoops I pushed done uh I have a duck  a hummingbird a crab or turtle and a flamingo,0
got it,1
I have a ram a fish um the guy I call him an upside down guy with the triangle hat on but some people call a fish the arrow fish pointing down and then a dog with its head cut off,1
got it,1
I have a swan a dragon a duck a flying bird,0
got it,1
I have a dog um a bunny a ram and an upside down whale,0
got you,1
I got it,1
I have a mountain a triangle square regular triangle with an m cut out and then a plant,0
got it,1
I have a palm tree a triangle a speedboat and a sailboat,0
got it,1
chevron shark with a box on its head a tepee and house,0
got it,1
I have a chicken ok I have an upside down chicken with a tail I have an upside down duck I have sideways flying bird and I have a rooster,1
gots it uh oh,1
but the talk button got stuck again ok I have a duck a crab a dragon a flying bird,0
got it,1
I have an upside down server I have a sideways um lady in a dress like handkerchief lady or whatever falling and then regular um handkerchief lady,0
got it,1
I have an apple a teepee a tugboat and a parallelogram,0
got it,1
I have a cat a bunny a turtle and that line with shapes coming out of it,0
got it,1
I have a dog chasing down a rocket ship a square mouth dog facing left and then a regular dog with two legs,0
got it,1
I have a baseball home plate um a slope a stove and then a boat,1
I have a llama a freckled fox a regular fox and a terrier,0
got it,1
I have a christmas tree um parallelogram facing up I guess um a boat and then a pot,0
got it,1
I have bird house head square body bruh preacher and football bruh,1
Im confused can you repeat that,0
yeah I have the person with the bird house head the,0
the square bodied person the preacher and then the kicking a football person,0
ok I got it,1
i have a big bird like a huge bird and then a vulture facing upward an upside down duck and a lochness sea monster,1
got em,1
I have a tetra shape a two shape thing a sailboat and a barn,0
got it,1
i have a big chicken um an upside down flamingo a lochness sea monster or a submarine and a flying bird,0
got it,1
I have the lady salsa dancing I have the person with two triangles coming out of him I have a person reading a bible or book if they dont believe in it and I have a triangle body person running up,0
got it,1
I have um the shark head thing a sideways sail boat an upside down boat with a square oh and then a sideways sailboat with three sails the second one only has two sails,0
got it,1
I have a skinny crow a fat crow a swan and the submarine,0
got it,1
I have a flying bird once again I have an upside down flamingo I have a sideways flamingo and I have the sea monster,0
got it,1
I got a shark a frame and the fish,0
got it,1
I have a pot a shark a sideways pot and house,0
got it,1
i have the dude lean back on one leg lady walking up square body person and the gentleman tipping his hat,1
I have a shark as you call it um a sea monster a ram and a rocket ship,1
I have the legs spread person the dog person the handkerchief lady and the dead person,0
got it,0
