UTTERANCE,LABEL
ive got a rooster dragon and the crab and a seal,1
go on,1
a stupid slanted shape a cave a christmas tree and a pipe,0
thats a cake but I see that theres a candle on the cake,1
i got a kick and a guy with the big ass-,0
fuck I hit the button guy kicking guy with the giant arm guy in the field position and the guy tipping his hat,0
fuck you,1
God I hope I got this,1
a i did. ok I got uh hummingbird thing a crab a flamingo and a snake,0
kerner,0
i have a bowl a boat a scot and a bunch of triangles,0
got it,0
Ive got a weird sailboat a butterfly a speed boat and a tp,1
I have that too in a different order but I have it,0
Ive got a fish swimming into a camel and then a llama whos looking at a giraffe,0
Cool,1
i have a boat thats right side up then in inverse of said boat then a giant japanese like castle and then a triangle,0
got it,1
ive got mr freckle fox and then I have a giraffe who is very disgruntled with the bunny beneath him and then a hand puppet is just chillin,1
beautiful,1
okay I got this cave and it doesnt know if theres a weird ass shape beneath it and theres a boat who is leaving home plate,0
got it by the way thats a hundred and forty,0
left stupid friend okay so I got a bottle on top of a samurai helmet and beneath the samurai helmet is half of a stop sign probably in his face and then theres like a little little newspaper sailor hat,0
got it,1
okay so I got this rooster whos falling onto a dragons back the dragon just killed a fat crow and theres a bird hes like "aw shit" gotta get outta here,0
I did not,1
now rushmore of,1
okay i got a t rex and hes a germaphobe and hes freaking out because he had this ram and this ram had crabs and then this squirrel is like whoa,0
beautiful i got this,1
oh,1
i got it you could say its a waterfowl,1
the seal of approval,1
okay so ive got this apple the forbidden fruit falling into the triangle that is represents mans three virtues which were not going to discuss because it trapped in a castle and theres a boat beneath the castle to escape,0
got it shouldve listened,1
okay so I got this dumb balloon which is falling onto this toros whos about to be rammed up the stomach by a fish that got shut out of the blowhole of that whale,0
I got it,1
got a seal a duck a crow and a hummingbird,0
got it,1
I have a palm tree half an apple a whole apple and a rupee,0
got it,1
got it,1
no that ones the fourth one,1
got it,1
got a speed boat a bridge half a christmas tree and a sailboat,0
ive got this thing with like one leg up and his tail going to the top right corner ive got the fox with all the freckles ive got like a gazelle or a deer or something and then i have a hand puppet,1
got it,1
got it,1
Ive got-- Ive got the ram a fish swimming down a cat hunched over and then a kangaroo,0
got it,1
ive got a crow a rooster a seal and a duck,0
got it,1
got a dog on one foot a whale a tornado and a fish,0
ive got the sea monster a squirrel a kangaroo and a fish,0
got it,1
I got a hold on,0
ive got a pine tree an apple a sailboat and a speed boat,0
hes like look at that look at that scene above me I got it,1
got a flamingo bird flying down a seal and then the turkey vulture,0
ive got a rooster a crow a turkey vulture and a crab,0
got it,1
ive got the sailboat with one sail a birthday cake upside down boat with a box and then a sailboat with three sails,0
got it,1
I got a giraffe a dog going down a turtle and then a squirrel,0
got it,1
Ive got triangle body the person pointing up guy kicking a waiter,0
got it,1
got it,1
Ive got a hammer a sailboat a seal and an avalanche,0
got it,1
Ive got the kind of sideways rupee thing home plate a cats face and then a normal rupee,1
got it,1
flying bird hummingbird vervet tail flamingo,0
got it,1
ive got the palm tree letter c a sailboat and a cave,0
got it,1
yeah like its kind of like a person laying on their stomach,0
got it,1
Ive got a dog a squirrel on its hind legs a crab and then this squirrel just walking,0
got it,1
kettle Native American iron mountain,0
got it ,1
I got flamingo bird with the tail a duck and a crab,0
got it ,1
Ive got a ram thing fish with its mouth open a fish swimming down and then an ant eater,0
got it ,1
dog bunny ram whale,1
got it,1
mountain triangle square letter m thing abraham lincoln,0
got it,1
palm tree triangles speed boats sail boat,0
got it,1
bird with the tail duck flying bird rooster,0
got it,1
Ive got a butler guy sideways lady with a handkerchief a boob girl than normal personal with the handkerchief,1
got it,1
cat bunny turtle and boy are cheap,0
okay I have two dogs uh is the first one going down,0
okay I think I got it,1
well shitokay Ive got half a stop sign a slant a batman mask and then a giant boat thing,0
got it,1
ive got a christmas tree an eraser  a giant boat thing and a vase,0
got it,1
got a bird with a crunched up neck fat crow a duck with flags and  the loch ness monster,0
got it,1
bird the tail flamingo loch ness monster bird flying,0
got it,1
its got a russianin a sideways sailboat with two upside down both the box then three sails,0
got it,1
flying bird upside down flamingoes sideways flamingo a sea monster,0
got it,1
upside down bowl Russian sideways ball lighter,0
got it,1
open mouth sea monster ram swimming down fish thing,1
uh can you repeat that I was answering a query with trouble,1
giraffe whale thing a ram and then like a something with a tail its really straight up or just a hand puppet,0
got it,1
the woman with  handkerchief sword man guy is like catching something that a woman in a dress,0
got it,1
Ive got a llama a squirrel a ram and a bunny,0
the llama squirrel ram bunny,0
got it,1
got a diamond letter c a speed boat and a sail boat,0
got it,1
Ive got the hummingbird flamingo crow and a flying bird,0
Im sorry could you repeat that,0
Eiffel Tower weird sailboat on a normal cell than a house of the chimney,0
got it,1
Ive got the cave thing a vase a giant boat and then an apple,1
got it,1
got it,1
Ive got a triangle bridge half eaten apple full apple,0
got it,1
ram bear llama squirrel,0
got it,1
camel fish ram bunny,1
got it,0
I got it,1
I have a dead guy I have a guy flying up into the dead guys butt I have a lady waving her handkerchief and then I have a thing,0
gord it,1
I have a sailboat next to a house next to an iron next to a house without a chimney,0
a marrow and I got it,0
did you hit done,1
I have a bridge a butterfly a boat and half a stop sign or actually a little less than half,0
query I have a bridge a butterfly a boat and a little less than half a stop sign,0
um its an impala,0
that was weird anyways I have a fish an impala with a shock collar then I have a dog and a baseball diamond,0
got it,1
I have a bird upside down a bird sideways a bird right side up and then a bird with wings,0
I think it was paul cauldron but you know whatever,0
cool story bro,1
I got a key which unlocks this wardrobe to a cute little sailor hat and then in comes the sailor but dies because he hit an iceberg,0
got it,1
Ive got this bird thats flying upside down because its dumb and then Ive got a rooster theres crabs and then a dead crow,0
okay cool and I think that top ladys pointing at the stars,0
okay so Ive got a boat thats going to hit another boat thats upside down this first boat has like two sails that are the same thing youve got that military symbol indicates that youre private and this information is private that this next boat looks stupid,1
got it,1
okay so I got this boat this boat was built by a hammer and then it hit this iceberg which could be viewed as a mountain or whatever then everyone turns into gremlins I dont know,0
whats up,0
yeah,0
okay so Ive got this loch ness monster who doesnt know that theres a fox about to bite him in the stomach and this is like old cat is like I remember the war and the bunnys like dad please,0
no he just like to hide it,0
cool I got that,1
okay so one time I used this eraser to erase half of an apple and then I threw it into a pot and then threw that pot into the bridge but dont tell anybody,0
neato,1
okay so this one time I was running upside down like with my arm out and I was racing against Haley who is on a knee board this is back when she was pregnant by the way and then Chelsea fell from the ceiling and jt was just laying there like what,0
got it,1
Ive got a bowl an iron a Native American and a seal,0
got it,1
Ive got a pipe a sideways pipe a sailboat and half christmas tree,0
got it,1
Ive got half an apple a bunch of triangles a sailboat then ah shit ok half an apple upside down bunch of triangles sailboat half an apple right side up,0
got it,1
Ive got a flamingo a raptor a swan and a seal,0
got it,1
Ive got a raptor flamingo flying bird and a duck,0
got it,1
got a space invader a houseboat a sailboat and then that shape,0
Ive got a space invaders thing other people call it a lobster Ive got a houseboat a sailboat in this weird slant shape,0
me too I got it,1
I got the thing sitting is like a dog or something with its tail straight up to the right then Ive got the drumstick a bunny and a hand puppet,0
got it,1
they have small cats I have got dog running two left I have a ram and then they have t-rex,0
got it,1
I have got a parallelogram I got a bridge I got half an apple and then it got a speedboat,0
hold on,0
I got it your nick cage is creeping me out,1
Ive got a speedboat an arrow a sailboat and a slanted shape,0
hes also been called I got it,1
so ive got this sideways cat defying gravity as cats do ive got this thing with a bunch of triangle sticking out of it then i got this t rex and then a fish who is just trying to get out of there trying to live its life,0
you know it does its going down so its got to be delta,0
cuckoo I got it,1
so I got this server and beneath the servers this person doing the thriller dance is one womans like Im not dealing with Im getting out here then that same woman she starts falling,0
got it,1
Ive got the rectangle with pieces missing its sideways christmas tree rectangle with pieces missing vertical and then a bridge,0
I got that,0
I got a bird whos flying up a bird that just sitting there with a tail an upside down bird is flying and then a bird flying down,0
what the hell is a maltese,0
I thought it was a mediterranean cracker anyway I got it,0
so I got this speed boat that I have a key looks like its from the mid eighteen hundreds then Ive got a sailboat and then I have a rupee,0
Im thinking its purple,0
do you count some,1
I got it I think,1
yay anyway I have a dog its going to the left and Ive got a fox hes looking up at the dogs junk then Ive got a giraffe looking at the foxes butt then Ive got a maltese or something who doesnt want any part of it,0
yeah pretty much as a maltese is,0
got it,1
so Ive got this unfinished desk and then a shark with a box on its head which naturally turns it into a Russian and I have an iron and the letter m,0
cool I think I got that,0
why not just a banana on the pizza or you can put the bananas in a bowl or on a native americans face or throw it onto a mountain have an avalanche happen or you could just have it on a boat whatever floats your boat friend,0
you know me so well,0
alright,0
got it i hope theyre cool ranch,0
this relationship is over just hit done were done,0
broke it,0
okay so Ive got this crab and hes about to fall on top of this turkey vulture with his neck or crunched up then we got this bird with a tail whos running along the ceiling and then this bird flying up shes trying to get him off to grab the laws,0
I got it,1
okay so I got this and the guy on the sailboat wants to go home but before he goes home he has to destroy some cargo ships like flip them over and the precious cargo carrying are bowls for cereal,0
got it,1
okay so I got this dragon hes flying away from this flamingo that I killed and then theres this bird is flying overhead and then he sees that deadamingo and is like oh my god so he starts flying straight down to see if hes okay,0
cuckoo,1
okay so Ive got this squirrel who saying like put them up and then and ears like a Im not fight you but then the ram comes lines like all fight you and bunnies like Carl dont you have condition,0
gotcha,1
or as a bird flying away from his anorexic crow friend who recently died and is now upside down and Ive got a dragon who drops another anorexic grow sideways,0
got it,1
so I read the bunny laying down another bunny looking behind him stand up is like that ass then Ive got the largest monster whos about to fall onto a t rex,0
them darn indians gotcha,1
so youve got the loch ness monster who just jumped off the back of this bird who is flying straight down because he saw crab like Im going to eat that then it a sealed beneath that crab is like Im going to eat crab,0
grabs third,0
got it,1
so I grabbed his bird flying up to get away from a hummingbird and then theres a sideways turkey vulture has just kind of it up but the whole scene doesnt even know theres a crab about pinch his butt,0
got it,1
Ive got a fish swimming down to meet a fish swimming to the right and I have a little fox looking up at the whole situation and then I have this weird alien shape I dont even know what that is,0
got it,1
okay so I got this waiter who is serving this pregnant woman because shes feeding to people and then I got this kind of circus freak guy with a giant arm hes trying to entertain her and then theres a gym is doing the splits right beneath them,0
so Ive got a pipe that someone found in a cave they also found a permanent eraser which they use to erase this half of a christmas tree,0
tragic,1
Ive got this this crab fighting a hummingbird and this crow is watching and he doesnt even know that his friend the flamingo is dead,0
poor little feller got,1
so I wrote this dragon who recently killed the flamingo and then he also killed a seal and a rooster this line of carnage,0
got,1
ok so I got this avalanche and the avalanche just knocked over the sailboat and now the sailboats being told by an arrow to go to the right but little does he know the right lies a giant seal,0
that is amazing I gotcha,1
so Ive got this terrier whos like frozen in fear because the t rex in front of him but its okay he can defeat the t rex with his fist inside of this hand puppet but he doesnt and then he dies,0
yep thats it,1
I got,1
so Ive got this turkey vultures standing on top of its kill because it killed a little duck and theres a dragon hes on top of his killing like I killed something bigger I killed some flamango,0
got it,1
ok so Abe Lincoln and a Native American got killed on their sale though because these pirates from a house boat blew it up,0
got it,1
ok so Ive got this bird who was once flying but is now upside down and dead and then this anorexic crow is thinking Im going to eat him but the bird was still alive he tunneled straight down and got huge and flew up,0
last is a bird flying down and then a bird flying up,0
I got it,0
gotcha,1
got it,1
got it,1
i got the fish the dog the tornado and the ram,0
got it,1
ive got hailee falling backwards ive got someone praying like theyre trying to repent another person praying but facing the left and then a salsa dancer,0
got it,1
Ive got a seal a christmas tree a sailboat and an avalanche,0
gord it,1
Ive got a crow a bird with a tail whos running up a flamingo and then the upside down bird with the tail,1
got it,1
got a crab a bird with a tail a rooster and the duck with two feet,0
got it and I guess that isnt hayley anymore,1
Ive got a bridge a diamond an apple and a pipe,0
got it,1
Ive got a sailboat with three sales that looks like a big glider thing a native american and a mountain,0
got it,1
Ive got a crow a duck a flying bird and the loch ness monster,0
got it,1
got a butterfly a pipe a sideways pipe and an apple,0
yesh,0
got it,1
Ive got a sailboat a christmas tree a house and a hoof print,0
got it,1
a running guy with the triangle chest guy tipping his hat the giant sprinting guy and a woman in a dress,0
that second one is an impalla friend,1
I got a letter m thing the feather the bowl and then the gremlin,0
got it,1
got it,1
got it,1
I got the person dancing Michael Jacksons thriller upside down pregnant person person in a coffin lady in a dress,0
got it,1
Ive got a fish an ant eater the dog is right side up and then the dog sideways,0
yeah ive got a fish an ant eater the right side up dog and then a sideways dog,0
got it,1
crow hummingbird flying bird upside down flying bird,1
got it,1
ive got a duck dragon a flying bird and the loch ness monster,0
got it,1
ghremlin hoof print kettle house,0
got it,1
dragon flamingo a turkey vulture flying bird,0
got it,1
all right Ive got the lady with the triangle head stargazing the upside down triangle chest person salsa dancer lady in a dress,0
got the praying person the person doing a kick person with the tail lady in a dress,0
got it,0
got it,1
got it,1
ive got loch ness monster sideways loch ness monster giant weird shape and then a kangaroo,0
got it,1
loch ness monster flamingo uh dragon swan,1
uh I think I got it,1
all right ive got a bird with its neck crunched up upside down duck dragon and then a flamingo looking backwards,1
got it,1
Ive got Abraham Lincoln Native American a sailboat and then a houseboat,0
upside down bird flying skinny crow bird flying down giant bird,1
got it,1
um did you get the tangrans,1
got it,1
I have a llama a whale the submarine and then this weird big shape kind of like a stingray,0
got it,1
Ive got a boston terrier a squirrel a dog going down and then looks like a horse with its front leg raised up,0
got it,1
Ive got the freckle fox this weird thing with like a parallelogram shaped head Ive got this weird message shapes we can never name then I have like a dog with its mouth open,0
Ive got a house the russian guy tetris and a birthday cake,0
Ive got a speed boat a pipe half an apple and an arrow,0
got it,1
Ive got a dog the weird mess of shapes squirrel standing on its hind legs then a submarine,1
got it,1
upside down submarine a swan a rooster and a crow,0
got it,1
got a sailboat half a stop sign a bridge and a pipe,0
got got it,1
yeah Ive got a big bird flying up a bird with a tail a hummingbird thing and then the skinny crow,0
got it,1
I have the dog with a square head facing to the left the dog running down a crab and then a squirrel on its hind legs,0
got it,1
Ive got a cettle an iron a mountain and a Native American,1
alright I think I got it,1
Ive got a duck with legs a crab a bird with a tail and a flamingo,0
got it,1
Ive got the unicorn the ant eater a fish swimming down a fish swimming up with its mouth open,0
got it,1
I have a bunny a dog a whale and a unicorn,0
got it,1
got a mountain the triangle square Abraham Lincoln and the em,1
got it,1
I have a triangle a speed boat a palm tree and a sailboat,0
got it,1
Ive got a bird with a tail of flying bird a rooster and a duck with two feet,0
got it,1
I got a server one with a handkerchief the handkerchief womans sideways and then the boob lady,0
got it,1
I have a turtle a cat a bunny and shapes,0
yeah Ive got a turtle a cat a bunny and then a bunch of shapes,0
got it,1
Ive got half a stop sign a boat with a lot of things on it a slant and then the Batman mask,1
got it,1
all right i have half a christmas tree but with a bunch of things on it the eraser shape and then a vase,1
got it,1
Ive got a crow loch ness monster the bird with its neck all crunched up and then a duck with two feet,1
got it,1
Ive got the loch ness monster a bird with a tail flamingo and then a bird flying,0
got it,1
I wrote the upside down but with the box the sideways boat with three sales Russian guy and sideways boat with two sails,0
got it,1
I have a flying bird a flamingo that sideways loch ness monster then the upside down flamingo,1
got it,1
okay Ive got the house with it with the chimney writes upside down bowl sideways bowl and then a Russian guy,0
got it,1
all right ive got a fish with its mouth open loch ness monster fish swimming down and then a unicorn,0
got it,1
okay Ive got a unicorn with its tail light straight up tossed its on the right side and I have a giraffe and then a parallelogram with three triangles,1
got it,1
got girl with a handkerchief guy with the giant triangle arm girl in a dress and then a server,0
got it,1
I have a unicorn the squirrel the bunny and the alpaca,1
got it,0
got,1
that took forever okay ive got a right set up dog a sideways dog a crab and a squirrel,1
got it,1
ive got a kettle and iron a mountain and a windmill,0
got it,1
ive got a duck with the two feet a crab a bird with a tail and a flamingo,0
got it,1
Ive got a ram an ant eater a fish swimming down fish swimming up with a mouth open,1
got it,1
Ive got a bunny a dog a whale and a ram,0
got it,1
got a mountain hold on,0
okay Ive got a mountain the triangle square abraham lincoln and the m,0
damn things frozen,1
got it,1
got a triangle a speed boat a palm tree and a vertical sailboat,0
got it,1
got bird with a tail flying bird a rooster and a duck,0
got it,1
