UTTERANCE,LABEL
all right so theres this apple right and then under that theres a bridge and its got two missing spots and then beneath that is the palm tree and then after that were just going to stay on the tree kind of topic and it is a half christmas tree,0
I have those in chronological order,1
okay,1
all right so theres this guy and hes running but hes also got a tail and so they think hes a wolf man and so he like runs extra fast so to catch them this guy has to ride his bike and like her they are and go and catch him and behind him to like make sure that hes going to do it is this block body guy actually yeah yeah its the block body guy and so hes walking just making sure but what theyre really trying to do is get this other triangle body guy to run and you know,0
yeah,0
I pressed done,1
oh weve got two crabs too many crabs all right the first crab has that little arrow looking leg is in the bottom left while the second one is a backwards looking flamingo sideways the second the whole lawns,0
the third one is the crab and the arrow leg is in the upper left and then the crow,0
got it crunchy no,1
all right the first one i have is a swan its a black swan it doesnt quite look like natalie portman but there is a resemblance after that theres the backwards looking whatever but you know if you want to call the pelican ill call the pelican then its the upside down flying bird and then its the rooster,0
I understand all those  got it,1
no no no no no no not done done,1
all right the first one is a sailboat and its sailing on top of the sea and then after that theres an arrow pointing where it should sail and its sail into home plate,0
that was good I got it,1
I got this cave and in this cave there are some nachos theres a big nacho dip in the salsa and how we got to the was with the sailboat and an eraser,0
yeah man that really took an m night shamble on type of twist,0
and just say no the sailboat the third one is the upside down to about and approaching,1
yeah mask is scary got it,1
so I got this upside down flying bird and then I got this weird looking rubber ducky and I got upside down Batman and then I got a flying down bird,0
youre middle two again please,0
rubber ducky in Batman,0
yeah yeah got it,1
yeah hold on,1
all right so we got this this hammer and it looked pretty hammered but it was made to build the sailboat and the sailboat is like upright and it has three sales looks like a sailboat forty seven knots all right and then its the same exact pictures a second one only sideways and then its the last one,0
yeah,1
I have a tea kettle and the tea kettle is warmed up to make because hot soup and then I got triangles point no left for some reason and I guess its pointing to two house,0
the okay,1
I have it,1
alright I got this ram without a tail and then I got this goat and then I had this kitty cat and then I had a dog on his hind,0
does the second one have a really long neck,0
yeah the first one doesnt have a neck and the second one does have a neck,0
theyd be neck in yeah got,1
all right so we got a couple of gymnast over here and there being all crazy the first one is the tumbling routine simone biles shes doing her shes doing the biles and then we have a loser you know im saying sliding upward toward simone its like im a slide into her dms and then after that we got hussein bolt just run in with this trying alarms and then the last one is some famous bicycle her away dave mira,0
I thought you were going to say Lance Armstrong but yeah I got,1
I got the chevron I got that Abraham Lincoln and I got that weird shape with the triangles together left and then I got a birthday cake,0
cake cake cake cake cake cake,1
okay its now ten minutes just in case you were wondering but we got some some pretty racist stuff going on over here so these white people came over on this boat are like hey were going to kick all of you native americans out and theyre like no way and then Abraham Lincoln came over is like Im going to emancipate you and he did that by playing a sweet tune on the job,0
got it,1
so I got this flamingo that upside down and then I got a hummingbird trying to catch Batman always swims and then I just got a crow,0
I got it the black crows,1
okay I got a whole bunch of birds here first one looks like a bird in the second one also looks like a bird of the first bird is a small flying bird upward and then the next one is like a raptor skull long tail its going to eat some some some and then we got the big bird flying downward and then we got the upside down a,0
got it,0
I have the guy that looks like hes in the olympic diving and hes about to dive and then I have to slip and slide dude going upward then I had the upside down uh dude holding a triangle and then I have the guy running to the right,1
got it,1
houseboat mountain eiffel tower sailboat,1
damn it Grant,0
got it,1
two sailboat triangle nachos attacking a sombrero and then a lobster crab or whatever,0
all I heard was a sombrero and a lobster crab,0
first two first ones the sailboat second ones the triangle,0
alright,1
got it,1
hold on,1
alright I have the bridge I have the cave I have the cave sideways I have the apple,1
you said cave sideways second you said cave then cave sideways,0
um ive got the weird dog with no head its like a square tail and then the rabbit and then the squirrel and then the weird like ram ,1
got the flying bird Ive got this skinny crow looking up and then I got skinny crow upside down looking left and then Ive got the turkey looking up,1
I have the house then I have the triangle and diamond and then I have a sailboat and then I have a flying up spaceship,0
got it,1
lying rabbit sitting rabbit weird monster and then weird dog on its hind legs with like a weird square snout,0
I had a query repeat them,1
alright I have a sailboat I have the pipe letter c uh and triangle,1
big turkey Loch Ness monster seal x,1
uh ax ram bunny squirrel,1
all right i got it,1
yeah let two overlapping triangles going down i got a rocket going to the right ive got the dog looking left with a snare uh snare uh the square snout and then the um fox,0
I smear you,1
Ive got waiter dude holding the triangle upside down person praying or whatever reading a book um splits guy big triangle dude guy,1
I have a house boat I have the half christmas tree have the speed boat I have a palm tree,0
got it,1
pipe comb mountain cave and then the spike,0
got it,1
tornado ram fish monster,1
flying bird seal crane rooster,1
uh Loch Ness monster Loch Ness monster sideways then tornado then kangaroo,0
the first one the flat sides on the bottom the second one the flat sides on the left,0
got it,1
Ive got arrow to the right seal sailboat avalanche,1
so I got the Loch Ness monster flamingo flying bird swan,1
I got square snout dog looking left sitting on its back legs kinda Ive got one with like the cat in the tree sorta looking thing and then I got square snout dog with four legs looking right and then I got a square snout dog with its front feet up in the air yep,0
oh I dont think I got this but well try,1
I have no idea what youre trying to describe but whatever uh Loch Ness monster tornado bunny fish,0
sorry I was getting a query can you repeat those,0
uh Loch Ness monster tornado bunny fish,0
I got it I think you said fish,0
yeah the last ones a fish,1
alright um ive got the bird looking to the right with a big triangle back ive got the flying bird ive got the upside down rubber duck and then ive got the pelican flamingo thing,0
sorry can you repeat that i had a query,0
um the bird looking right with a big triangle back the flying bird the rubber duck and then the pelican,0
one more time I another query,0
sorry you cut out the last second can you repeat the last four,1
yo i got this diamond then i got this upside down sailboat and i got this house boat and i got this spike,1
yo ram pot cave homeplate,0
got it,1
got the big turkey got the big turkey looking up the crow the little turkey upside down looking right and then the last ones another turkey looking down,0
I think I got it,1
all right i got it sorry my speak button didnt work,1
okay I got the  the squatting camel the like raptor thing with the long tail the upside down flamingo and then the crab,0
got it,1
alright my  first one is the turkey then the swan the rubber duck and the last one is a turkey but his head is in the on the left side and the first one of his head is at the very top,0
all right i got it,1
my first one is a sailboat with the two sails on the left second is the pipe third is the arrow facing left and the last one is the vase,0
I got it,1
okay I got the ramp the scissors the boat with two sails and then the last one would like three sails,0
got it,1
alright my first one is the boat second is the hammer third one is the upright vase and the last one a sideways vase,0
gotcha forty seven knots nineteen hundred feet,1
alright my  first one is the over sized turkey second is the falcon third is upside down bird with his two feet in the air and then the crab,0
got it,1
alright I have a bright apple upside down apple speed boat rhombus,0
got it,1
first one is a speedboat going up second is the letter b third is the freight boat with the stack on the left side and my last one is the mountain with the cave,0
got it,1
I have the upside down splits up give me a second,0
all right i have the upside down splits the guy sliding on his belly the lady in the dress and then looks like a really fd up batman mask,0
got it,1
hold on,0
my first one is the seal second is the bird with its wings spread apart then the crab and then a weird looking shape,0
okay well this your is your last one is that the one with the two triangles like on the sides,0
yeah the last one a kind of weird it looks like it has a triangle on the left side kind of looks like a head you could say,0
I think I know what youre talking about,1
alright we got that one I have the arrow the boat the trapezoid then the cave,0
got it,1
alright my first one is the boat with the two sails looks like second is the iron third is the upside down boat and then my last one is the sideways birthday cake,0
got it,1
all right I got the chipmunk facing right the snake then the squirrel or whatever facing left and then the alpaca or a llama,0
got it,1
our first one theres the corner of a picture frame second is the top hat third is the step and then the last is the construction sign facing right,1
alright I got the give me one minute,0
I got the fish the loch ness monster or a snake then the squirrel and then the one legged thing,0
got it,1
hang on,0
alright first one is the the lady in a dress with no arms second is the person kicking a soccer ball then the upside down person with the long sleeves and then looks like a little kid running as my last one,0
got it,1
I have the alpaca the tornado then the ram,0
did you get that,1
alright  my first one is the palm tree with the triangles in the bottom left then I have the boat then I have the bridge with the two arches and then a triangle,0
yeah I got it,1
right I got the bird thats a flying the turkey I guess and then the really zoomed in bird then the crab and then the sideways Batman swimming,0
got it ,1
alright my first one is the crab then the camel looks like is second third is the bird  flying down the last one is the upside down bird,0
got it,1
okay I got the seal the iron the vase then the windmill,1
alright my first one is the mountain with the cave then the speed boat thats upright then the half a christmas tree and then a speedboat going down,1
alright I have the pipe with the um yeah the pipe thats horizontal then the pipe thats vertical than the pyre then the shit then the boat then the christmas tree,0
got it,1
thats my fault my first one is the bunny laying down then the tornado then the the llama and the cat,0
I got it,1
all right so its the upside down apple then the weird looking snowman then the boat and then the right side up apple,0
got it,1
