,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
0,SPEAKERS,966,1629,0.7407407407407408,TB_INT,0.7272727272727272,0.65,0.761904761904762
1,SPEAKERS,966,1629,0.823529411764706,TB_INT,0.8936170212765957,0.888888888888889,0.816326530612245
2,SPEAKERS,966,1629,0.875,TB_INT,0.9130434782608695,0.8936170212765957,0.9130434782608695
3,SPEAKERS,966,1629,0.9056603773584906,TB_INT,0.9795918367346939,0.9583333333333334,0.9795918367346939
4,SPEAKERS,966,1629,0.8333333333333334,TB_INT,0.8695652173913043,0.9090909090909091,0.8837209302325582
5,SPEAKERS,966,1629,0.8846153846153847,TB_INT,0.8333333333333334,0.7727272727272727,0.7727272727272727
6,SPEAKERS,966,1629,0.8421052631578948,TB_INT,0.875,0.888888888888889,0.875
7,SPEAKERS,966,1629,0.7407407407407408,TB_INT,0.8400000000000001,0.7826086956521738,0.8
8,SPEAKERS,966,1629,0.8979591836734695,TB_INT,0.9333333333333332,0.909090909090909,0.9130434782608695
9,SPEAKERS,966,1629,0.8627450980392156,TB_INT,0.8260869565217391,0.8,0.8260869565217391
10,SPEAKERS,966,1629,0.8085106382978724,TB_INT,0.8837209302325583,0.8571428571428571,0.8837209302325583
11,SPEAKERS,966,1629,0.8333333333333333,TB_INT,0.8636363636363636,0.8292682926829269,0.8292682926829269
12,SPEAKERS,966,1629,0.84,TB_INT,0.851063829787234,0.8695652173913043,0.851063829787234
13,SPEAKERS,966,1629,0.8363636363636363,TB_INT,0.888888888888889,0.8636363636363636,0.8636363636363636
14,SPEAKERS,966,1629,0.8444444444444444,TB_INT,0.8636363636363636,0.7804878048780488,0.7906976744186046
15,SPEAKERS,966,1629,0.7916666666666667,TB_INT,0.8181818181818182,0.8095238095238095,0.8
16,SPEAKERS,966,1629,0.8571428571428572,TB_INT,0.8372093023255814,0.75,0.888888888888889
17,SPEAKERS,966,1629,0.8979591836734695,TB_INT,0.9333333333333332,0.9333333333333332,0.888888888888889
18,SPEAKERS,966,1629,0.7499999999999999,TB_INT,0.7916666666666667,0.7555555555555555,0.7391304347826085
19,SPEAKERS,966,1629,0.9333333333333332,TB_INT,0.909090909090909,0.8837209302325583,0.8837209302325583
0,SPEAKERS,623,1601,0.6666666666666667,TB_INT,0.7692307692307693,0.6923076923076923,0.8
1,SPEAKERS,623,1601,0.7857142857142856,TB_INT,0.7500000000000001,0.6956521739130435,0.6956521739130435
2,SPEAKERS,623,1601,0.9230769230769231,TB_INT,0.8799999999999999,0.9230769230769231,0.9230769230769231
3,SPEAKERS,623,1601,0.9230769230769231,TB_INT,0.9230769230769231,0.9230769230769231,0.9230769230769231
4,SPEAKERS,623,1601,0.8695652173913044,TB_INT,0.8695652173913044,0.9166666666666666,0.9600000000000001
5,SPEAKERS,623,1601,0.75,TB_INT,0.8695652173913043,0.8695652173913043,0.8695652173913043
6,SPEAKERS,623,1601,0.9565217391304348,TB_INT,0.9565217391304348,0.9565217391304348,0.9565217391304348
7,SPEAKERS,623,1601,0.8799999999999999,TB_INT,0.9166666666666666,0.9166666666666666,0.9166666666666666
8,SPEAKERS,623,1601,0.8695652173913043,TB_INT,0.8181818181818182,0.9166666666666666,0.7826086956521738
9,SPEAKERS,623,1601,0.7000000000000001,TB_INT,0.7000000000000001,0.7000000000000001,0.6666666666666666
10,SPEAKERS,623,1601,0.8695652173913043,TB_INT,0.9565217391304348,0.9565217391304348,0.9565217391304348
11,SPEAKERS,623,1601,0.761904761904762,TB_INT,0.7272727272727272,0.7272727272727272,0.761904761904762
12,SPEAKERS,623,1601,0.9090909090909091,TB_INT,0.9090909090909091,0.8333333333333334,0.8695652173913043
13,SPEAKERS,623,1601,0.7000000000000001,TB_INT,0.8181818181818182,0.7000000000000001,0.8571428571428571
14,SPEAKERS,623,1601,0.8181818181818182,TB_INT,0.6666666666666666,0.7368421052631579,0.761904761904762
15,SPEAKERS,623,1601,0.7096774193548387,TB_INT,0.9166666666666666,0.9166666666666666,0.9166666666666666
16,SPEAKERS,623,1601,0.9565217391304348,TB_INT,0.9565217391304348,0.9565217391304348,0.9565217391304348
