,WORD_TFIFD_RF,NGRAM_TFIDF_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,DATA_LABEL,N,EXP,DATA_TYPE
0,0.723404255319149,0.6909090909090909,0.744186046511628,0.7391304347826088,1629,966,TB_NONTB,SPEAKERS
1,0.875,0.823529411764706,0.8372093023255814,0.851063829787234,1629,966,TB_NONTB,SPEAKERS
2,0.8936170212765957,0.875,0.9130434782608695,0.8936170212765957,1629,966,TB_NONTB,SPEAKERS
3,0.9411764705882353,0.923076923076923,0.9583333333333334,0.9795918367346939,1629,966,TB_NONTB,SPEAKERS
4,0.8837209302325582,0.816326530612245,0.8571428571428571,0.8636363636363635,1629,966,TB_NONTB,SPEAKERS
5,0.8181818181818182,0.8679245283018867,0.7727272727272727,0.8571428571428572,1629,966,TB_NONTB,SPEAKERS
6,0.9130434782608695,0.8214285714285714,0.8695652173913043,0.875,1629,966,TB_NONTB,SPEAKERS
7,0.8444444444444444,0.7272727272727272,0.7916666666666666,0.8333333333333334,1629,966,TB_NONTB,SPEAKERS
8,0.9166666666666666,0.8679245283018867,0.8636363636363635,0.8936170212765957,1629,966,TB_NONTB,SPEAKERS
9,0.851063829787234,0.8627450980392156,0.8695652173913043,0.816326530612245,1629,966,TB_NONTB,SPEAKERS
10,0.8837209302325583,0.76,0.8372093023255814,0.8837209302325583,1629,966,TB_NONTB,SPEAKERS
11,0.8292682926829269,0.8695652173913043,0.8837209302325583,0.8571428571428571,1629,966,TB_NONTB,SPEAKERS
12,0.8695652173913043,0.84,0.888888888888889,0.8695652173913043,1629,966,TB_NONTB,SPEAKERS
13,0.92,0.8148148148148149,0.909090909090909,0.8571428571428572,1629,966,TB_NONTB,SPEAKERS
14,0.8095238095238095,0.8181818181818182,0.7999999999999999,0.7906976744186046,1629,966,TB_NONTB,SPEAKERS
15,0.8260869565217391,0.7916666666666667,0.8837209302325583,0.8260869565217391,1629,966,TB_NONTB,SPEAKERS
16,0.8095238095238095,0.8333333333333333,0.7368421052631579,0.9047619047619047,1629,966,TB_NONTB,SPEAKERS
17,0.9361702127659574,0.9166666666666666,0.878048780487805,0.9130434782608695,1629,966,TB_NONTB,SPEAKERS
18,0.9545454545454545,0.9565217391304348,0.9545454545454545,0.9565217391304348,1629,966,TB_NONTB,SPEAKERS
19,0.8837209302325583,0.909090909090909,0.8837209302325583,0.909090909090909,1629,966,TB_NONTB,SPEAKERS
0,0.7692307692307692,0.7272727272727273,0.7586206896551724,0.8461538461538461,1601,667,TB_NONTB,SPEAKERS
