,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,3679,i have,1940,then i have,307
1,then,3170,got it,1110,first one is,285
2,got,2560,i got,1024,got it got,244
3,have,2067,upside down,791,got it i,235
4,it,1704,one is,707,it got it,223
5,one,1451,then i,427,loch ness monster,185
6,with,1444,first one,374,okay i have,175
7,like,1431,looks like,308,last one is,146
8,is,1311,last one,271,i got it,145
9,down,1213,flying bird,270,it i have,140
10,triangle,800,okay i,269,my first one,136
11,upside,796,it i,266,an upside down,104
12,on,671,it got,255,third one is,100
13,bird,622,ive got,234,then last one,97
14,first,585,loch ness,205,second one is,95
15,right,584,with two,189,i dont know,92
16,its,576,ness monster,185,then i got,88
17,in,574,third one,178,it i got,84
18,dog,573,second one,175,then upside down,80
19,boat,563,kind of,162,i have an,78
