,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,122,got it,90,got it got,55
1,it,98,it got,55,it got it,52
2,then,55,one is,25,first one is,13
3,is,33,i got,13,gotcha got it,9
4,with,32,first one,13,got it gotcha,7
5,one,31,upside down,10,it first one,6
6,on,26,gotcha got,9,got it first,6
7,triangle,23,it gotcha,7,it gotcha got,5
8,in,20,ive got,7,last one is,5
9,i,19,got got,7,i got it,4
10,down,19,last one,6,second one is,3
11,guy,17,it first,6,one is sailboat,3
12,right,17,sailboat then,6,head on right,3
13,sailboat,15,all right,6,is upside down,3
14,first,14,with square,5,all right i,3
15,gotcha,11,arrow pointing,5,right i got,3
16,upside,10,on right,5,then upside down,3
17,person,10,second one,4,on its side,3
18,weird,10,sailboat with,4,on left then,3
19,house,9,then guy,4,got got it,3
