,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,514,i got,223,then i got,46
1,got,306,i have,204,i got this,36
2,have,219,got it,85,loch ness monster,30
3,then,180,then i,79,then i have,28
4,it,121,upside down,68,got it i,26
5,with,98,got this,38,i got it,18
6,down,92,loch ness,31,it i got,15
7,one,86,ness monster,30,so i got,15
8,upside,69,looks like,30,all right i,10
9,like,65,it i,27,lady in dress,10
10,triangle,64,flying bird,25,got it got,10
11,that,58,first one,19,it got it,10
12,this,53,with two,18,i have flying,10
13,to,53,all right,18,i got that,10
14,is,52,rubber ducky,17,alright i have,9
15,right,50,yeah i,16,think i got,9
16,flying,49,i dont,16,yeah i got,9
17,in,47,alright i,16,i have sailboat,8
18,sailboat,44,one is,16,with two feet,8
19,you,44,so i,15,it looks like,8
