,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,151,got it,118,got it got,55
1,then,142,it got,55,it got it,53
2,it,124,one is,42,got it i,20
3,i,69,i got,42,it i got,16
4,one,52,it i,20,first one is,15
5,is,52,upside down,18,i got it,11
6,with,43,all right,17,got it alright,10
7,down,28,first one,15,all right i,10
8,guy,27,i have,15,it all right,10
9,right,25,second one,11,got it all,10
10,triangle,19,right i,10,fourth one is,9
11,all,18,fourth one,10,second one is,8
12,upside,18,it all,10,right i got,8
13,first,17,it alright,10,then upside down,8
14,second,16,third one,10,third one is,8
15,dog,16,loch ness,8,loch ness monster,8
16,have,15,ness monster,8,right got it,6
17,in,14,then upside,8,my first one,5
18,third,14,sailboat then,7,all right got,4
19,on,12,guy with,7,then sailboat then,4
