,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,53,i have,23,then i have,5
1,then,39,i got,14,so i got,4
2,like,34,looks like,11,i hit done,4
3,have,25,okay i,8,okay i got,3
4,got,24,got it,8,okay so i,3
5,one,16,upside down,6,it got it,3
6,okay,16,then i,6,got it got,3
7,it,15,look like,6,i have dog,3
8,with,14,so i,5,okay i have,3
9,bird,12,bird with,5,then weird looking,2
10,that,12,last one,5,bunch of shapes,2
11,down,12,i hit,4,of shapes with,2
12,looks,11,hit done,4,whole bunch of,2
13,of,10,thats what,4,that looks like,2
14,so,9,facing down,4,then whole bunch,2
15,weird,8,it got,3,right so i,2
16,last,7,with two,3,then bird flying,2
17,what,7,third one,3,one fat side,2
18,you,7,down like,3,it looks like,2
19,in,7,then bird,3,i have bird,2
