,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,40,got it,28,got it got,18
1,it,31,it got,18,it got it,14
2,then,15,one is,8,rocket ship going,3
3,one,13,ive got,4,out of it,3
4,down,10,going down,4,looking thing with,2
5,with,10,last one,4,of it then,2
6,is,9,upside down,4,taken out of,2
7,like,8,out of,3,down got it,2
8,i,6,so i,3,second one is,2
9,last,5,i have,3,so i have,2
10,on,5,rocket ship,3,third one is,2
11,square,5,ship going,3,then third ones,2
12,going,5,with square,3,gotcha got it,2
13,triangle,5,of it,3,last one is,2
14,guy,4,with triangle,2,first one is,2
15,third,4,down with,2,ship going down,2
16,upside,4,it then,2,sideways windmill then,1
17,of,4,down got,2,windmill then upside,1
18,ive,4,thing with,2,candle upset or,1
19,looking,4,arrow pointing,2,or sideways windmill,1
