,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,3684,got it,2738,got it got,1352
1,it,3157,it got,1374,it got it,1325
2,i,2702,i have,1244,got it i,384
3,then,1707,i got,929,i got it,312
4,have,1329,upside down,476,then i have,236
5,like,851,it i,406,it i have,207
6,with,803,one is,364,got it okay,176
7,one,754,then i,320,first one is,133
8,down,718,okay i,207,it i got,129
9,is,710,it okay,183,okay i have,100
10,upside,479,first one,174,loch ness monster,96
11,triangle,478,looks like,159,okay got it,90
12,okay,471,flying bird,141,okay i got,87
13,on,412,i think,125,i think i,75
14,its,355,ive got,121,it okay i,73
15,of,341,loch ness,112,think i got,72
16,right,340,all right,109,an upside down,71
17,that,338,last one,103,got it ok,66
18,guy,333,third one,102,third one is,63
19,to,326,second one,97,then i got,62
