,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,207,i have,71,first one is,16
1,i,108,got it,50,got it got,14
2,got,76,one is,31,it got it,14
3,have,73,upside down,31,okay i have,10
4,with,64,i got,29,ok i have,9
5,it,63,first one,22,then upside down,8
6,one,57,it got,14,got it i,8
7,is,46,last one,13,i got it,7
8,down,44,okay i,12,lady in dress,7
9,like,39,ok i,10,it i have,7
10,triangle,36,then like,9,all right i,7
11,upside,31,with square,9,last one is,6
12,first,31,in dress,8,then dog with,5
13,right,25,holding triangle,8,right i have,5
14,in,25,then arrow,8,loch ness monster,5
15,person,23,then person,8,i have guy,5
16,on,21,it i,8,got it ok,4
17,dog,20,triangle then,8,then arrow pointing,4
18,square,20,all right,8,then last one,4
19,sailboat,19,arrow pointing,8,third one is,4
