,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,231,got it,152,it got it,53
1,it,196,i have,89,got it got,53
2,got,193,it got,55,got it i,23
3,i,165,i got,48,first one is,23
4,have,99,one is,47,i got it,21
5,one,87,upside down,45,it i have,14
6,with,87,first one,27,got it okay,13
7,like,85,it i,24,got it ok,11
8,is,82,dog with,16,then upside down,10
9,down,66,last one,15,okay i have,9
10,triangle,49,it has,15,my first one,8
11,dog,47,my first,14,it has like,8
12,upside,45,second one,14,yeah i got,8
13,on,39,with two,14,ok i have,8
14,first,37,it okay,13,last one is,8
15,okay,34,looks like,13,then i have,7
16,its,31,then i,12,got it alright,7
17,my,30,okay i,11,got it first,7
18,in,29,holding triangle,11,it i got,7
19,second,28,it ok,11,it first one,7
