,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,277,i have,123,got it i,25
1,got,180,got it,92,it got it,25
2,it,137,i got,87,got it got,22
3,have,134,it i,28,then i have,20
4,is,60,it got,25,it i have,15
5,like,55,upside down,24,i got it,11
6,that,54,then i,22,an upside down,8
7,then,50,i think,15,i have dog,7
8,to,39,going to,13,loch ness monster,7
9,down,35,i dont,11,it looks like,6
10,you,35,looks like,11,i got i,5
11,of,31,flying bird,11,i got that,5
12,dog,30,you know,10,i think i,5
13,boat,29,that is,9,i have big,5
14,so,29,native american,9,got i got,5
15,this,28,thing is,8,so i got,5
16,bird,28,an upside,8,yo i got,5
17,an,25,super shredder,8,i have uh,5
18,on,25,bird flying,7,two nacho bowl,5
19,man,25,have dog,7,hey man i,4
