,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,379,i got,181,got it got,26
1,i,286,got it,103,got it i,23
2,it,150,upside down,47,then i got,17
3,then,149,flying bird,32,it got it,16
4,down,84,it got,27,it i got,14
5,one,79,then i,27,see i got,10
6,boat,75,looks like,26,okay got it,9
7,triangle,57,it i,25,okay i got,9
8,guy,56,lets see,19,lets see i,8
9,dog,56,okay i,17,i got house,8
10,sideways,52,last one,14,i got it,7
11,that,51,okay got,14,big flying bird,6
12,upside,47,third one,13,i got dog,6
13,flying,46,triangle diamond,13,i think i,6
14,fish,45,i gots,12,then i have,6
15,sailboat,44,sea serpent,12,down i got,6
16,flamingo,44,got dog,12,i got crab,6
17,bird,43,one is,11,i got guy,5
18,okay,43,first one,11,open mouth fish,5
19,man,41,got boat,11,think i got,5
