,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,38,i got,14,got it got,7
1,i,34,got it,13,it got it,5
2,it,22,i have,10,so i got,4
3,to,15,ive got,8,half an apple,3
4,then,14,it got,7,okay so i,3
5,so,14,so i,6,then i have,3
6,its,13,got this,6,i got lady,3
7,have,13,trying to,4,i got this,3
8,of,12,bunch of,4,ive got this,3
9,this,11,upside down,4,of triangles sailboat,2
10,an,11,then i,4,so i have,2
11,like,10,an apple,4,want to meet,2
12,or,10,flying bird,4,to meet lady,2
13,just,9,looks like,3,i want to,2
14,lady,9,got lady,3,i have an,2
15,is,9,have an,3,just trying to,2
16,ive,9,ten seventy,3,flying bird flying,2
17,that,8,half an,3,bunch of triangles,2
18,flying,8,okay so,3,so ive got,2
19,bird,8,want to,3,its been called,2
