,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,24,got it,17,got it got,7
1,it,21,i got,8,it got it,6
2,i,13,it got,7,i got it,4
3,triangle,10,looks like,4,ok i got,3
4,like,9,ok i,3,got it okay,2
5,then,7,upside down,3,like hes catching,2
6,ok,5,catching triangle,3,hes catching triangle,2
7,its,5,then its,3,okay got it,2
8,looks,5,i think,2,it okay got,2
9,on,4,it looks,2,it looks like,2
10,fish,4,fish going,2,body kicker then,1
11,catching,3,okay got,2,lady got fish,1
12,one,3,triangle body,2,windmill on wth,1
13,person,3,hes catching,2,on wth right,1
14,that,3,like hes,2,wth right i,1
15,batman,3,look like,2,right i got,1
16,house,3,it okay,2,i got upright,1
17,down,3,third one,2,got upright triangle,1
18,in,3,ram fish,2,fish going up,1
19,upside,3,on wth,1,got fish going,1
