,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,4871,i have,2707,then i have,458
1,then,4190,i got,1301,first one is,363
2,have,2885,upside down,1093,loch ness monster,239
3,got,2311,one is,940,okay i have,230
4,like,1940,then i,637,last one is,179
5,one,1919,first one,480,my first one,170
6,with,1917,looks like,412,an upside down,154
7,is,1784,got it,385,third one is,143
8,down,1660,flying bird,358,second one is,133
9,it,1195,last one,337,then i got,132
10,triangle,1125,okay i,332,i dont know,124
11,upside,1100,ive got,284,then last one,122
12,on,926,loch ness,270,i have an,109
13,bird,817,third one,242,then upside down,103
14,its,801,ness monster,239,so i got,102
15,right,780,with two,237,all right i,101
16,guy,760,second one,236,i have like,96
17,dog,755,all right,206,lady in dress,93
18,in,729,my first,198,i have dog,93
19,first,723,kind of,198,it looks like,92
