,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,3933,got it,3464,got it got,2144
1,it,3666,it got,2169,it got it,2130
2,i,1510,i got,652,i got it,381
3,then,687,i have,477,got it i,346
4,have,511,it i,358,got it okay,193
5,like,342,it okay,196,it i got,144
6,okay,332,upside down,174,it i have,117
7,with,330,okay i,141,okay got it,109
8,one,286,one is,131,then i have,86
9,down,271,okay got,114,it okay i,83
10,is,237,then i,111,think i got,83
11,that,206,i think,106,i think i,82
12,upside,175,think i,92,okay i got,74
13,on,157,ive got,71,it okay got,73
14,triangle,153,yeah i,68,got it ok,61
15,you,151,first one,68,got it yeah,59
16,boat,151,it ok,64,first one is,55
17,of,148,it yeah,60,gotcha got it,47
18,right,144,all right,58,got it yep,44
19,yeah,141,got that,57,got it gotcha,43
