,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,222,got it,191,got it got,113
1,it,201,it got,113,it got it,109
2,i,101,i have,46,i got it,24
3,have,47,i got,38,got it i,18
4,then,39,then i,19,then i have,16
5,okay,26,it i,19,got it okay,15
6,like,20,it okay,15,it i got,12
7,boat,17,okay i,11,okay got it,9
8,with,14,okay got,9,it okay i,7
9,that,13,think i,8,think i got,7
10,done,13,i think,7,i think i,7
11,dog,11,flying bird,7,got it done,6
12,tree,10,upside down,6,okay i got,6
13,down,9,christmas tree,6,got it ive,5
14,triangle,8,done got,6,it ive got,5
15,sailboat,8,ive got,6,it okay got,4
16,think,8,it done,6,i have dog,4
17,right,8,it ive,5,it i have,4
18,up,8,dog with,4,done got it,4
19,an,8,right side,4,i have this,3
