,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,413,one is,106,first one is,63
1,is,204,i have,89,last one is,31
2,i,168,upside down,83,my first one,23
3,one,167,first one,69,is upside down,20
4,with,149,i got,52,loch ness monster,20
5,got,132,last one,41,then last one,19
6,down,112,ive got,33,then i have,16
7,like,107,third is,29,can you repeat,12
8,have,97,second is,29,then boat then,12
9,first,91,then i,28,my last one,11
10,upside,83,then last,26,lady in dress,10
11,on,69,my first,24,ok i have,10
12,right,69,all right,24,all right i,10
13,triangle,65,boat then,22,one is upside,10
14,in,61,ness monster,20,i have person,10
15,boat,59,is upside,20,right i got,9
16,person,57,loch ness,20,alright my first,9
17,bird,55,then boat,19,then my last,9
18,last,55,got it,19,then i got,8
19,its,54,holding triangle,17,with two sails,8
