,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,232,got it,228,got it got,180
1,it,231,it got,180,it got it,179
2,is,68,one is,47,first one is,32
3,then,62,first one,36,got it first,17
4,one,56,upside down,22,it first one,16
5,first,39,it first,17,my first one,13
6,with,34,my first,14,then i have,12
7,my,32,then i,13,got it my,10
8,down,27,i have,13,it my first,8
9,i,25,second is,10,last one is,8
10,upside,22,it my,10,is upside down,7
11,have,13,last one,10,got it i,6
12,last,13,third is,8,my last one,5
13,second,13,i got,7,one is upside,4
14,on,11,is upside,7,i got it,4
15,third,10,my last,6,next one is,4
16,triangle,10,it i,6,then last one,4
17,of,9,dog with,5,upside down flamingo,4
18,two,9,is triangle,5,one is triangle,3
19,guy,8,with two,5,think i got,3
