,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,311,one is,78,first one is,34
1,i,115,i got,73,loch ness monster,24
2,one,110,first one,37,my first one,22
3,is,102,upside down,34,all right i,20
4,got,95,all right,32,right i got,17
5,with,73,i have,27,then upside down,16
6,right,51,my first,24,second one is,15
7,my,48,loch ness,24,fourth one is,14
8,down,47,ness monster,24,third one is,13
9,first,44,second one,22,right my first,10
10,dog,39,right i,21,alright my first,9
11,guy,38,got it,18,all right my,9
12,second,34,third one,16,ness monster then,9
13,upside,34,fourth one,16,my fourth one,7
14,all,33,then upside,16,my second one,7
15,triangle,31,looking thing,15,bird with its,7
16,weird,29,then dog,14,with its wings,7
17,it,29,then weird,12,its wings spread,7
18,have,29,sailboat then,11,my third one,7
19,third,28,dog with,11,weird loch ness,7
