,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,92,i have,38,going to left,6
1,then,71,upside down,25,loch ness monster,5
2,got,43,i got,23,big flying bird,4
3,guy,42,flying bird,22,right side up,4
4,have,41,to left,9,down flying bird,3
5,to,39,going to,9,arrowhead guy thats,3
6,down,35,sea monster,9,upside down flying,3
7,one,32,rocket ship,8,um i have,3
8,like,32,okay i,8,sailboat i have,3
9,with,31,then he,8,triangle with cut,3
10,triangle,30,got it,6,on one foot,3
11,it,30,wanted to,6,dog going to,3
12,flamingo,28,pizza guy,6,flamingo sideways flamingo,3
13,sailboat,26,okay so,6,i have ram,3
14,dog,26,triangle body,5,okay i have,3
15,bird,26,looks like,5,he wanted to,3
16,upside,25,so i,5,okay so this,3
17,flying,25,i saw,5,guy thats kind,3
18,this,24,looking at,5,cut off then,3
19,so,24,dog going,5,thats kind of,3
