,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,57,got it,54,got it got,41
1,it,54,it got,41,it got it,40
2,gotcha,8,gotcha got,8,gotcha got it,8
3,then,5,it gotcha,7,it gotcha got,7
4,guy,5,then guy,3,got it gotcha,7
5,is,4,one is,3,got it first,2
6,one,4,fetal position,2,it first one,2
7,boat,3,it first,2,first one is,2
8,down,3,first one,2,yup ive got,1
9,with,2,i got,2,it i got,1
10,i,2,upside down,2,triangle got it,1
11,fetal,2,kid fetal,1,holding triangle got,1
12,right,2,holding triangle,1,guy holding triangle,1
13,position,2,guy holding,1,then guy holding,1
14,in,2,position then,1,position then guy,1
15,triangle,2,little kid,1,fetal position then,1
16,arrow,2,bike little,1,kid fetal position,1
17,all,2,on bike,1,little kid fetal,1
18,first,2,guy on,1,bike little kid,1
19,on,2,got guy,1,on bike little,1
