,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,145,i have,98,okay i have,13
1,have,102,i got,31,loch ness monster,12
2,then,81,upside down,19,then i have,8
3,with,59,okay i,16,have flying bird,5
4,got,59,ive got,14,i have an,5
5,like,49,looks like,13,okay ive got,5
6,it,33,got it,13,ok i have,5
7,down,31,loch ness,13,kind of looks,5
8,okay,28,then i,12,of looks like,5
9,sailboat,27,flying bird,12,i have flying,5
10,boat,24,ness monster,12,it got it,5
11,bird,24,with two,9,got it got,5
12,this,23,kind of,8,i have guy,5
13,is,23,boat with,7,i have dog,4
14,one,22,one is,6,i have arrow,4
15,on,22,have guy,6,half christmas tree,4
16,that,21,christmas tree,6,an upside down,4
17,triangle,19,with like,6,i dont know,4
18,upside,19,ok i,6,i have loch,3
19,of,18,okay ive,5,i have triangle,3
