,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,234,got it,211,got it got,122
1,it,217,it got,122,it got it,119
2,i,70,i have,33,got it i,24
3,then,67,i got,25,i got it,21
4,have,33,it i,24,got it okay,15
5,like,31,upside down,17,it i have,14
6,one,30,okay i,15,got it yep,12
7,with,27,it okay,15,it okay i,12
8,guy,23,one is,14,yep got it,10
9,down,22,it yep,12,it yep got,8
10,is,21,yep got,11,okay i have,7
11,okay,20,third one,7,got it yeah,7
12,in,18,it yeah,7,okay i got,7
13,upside,18,with two,6,gotcha got it,6
14,boat,17,then guy,6,think i got,5
15,yep,16,gotcha got,6,it i got,5
16,triangle,16,triangle body,5,it gotcha got,5
17,dog,15,it gotcha,5,got it gotcha,5
18,on,13,got that,5,third one is,5
19,thing,13,has like,5,then upside down,4
