,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,437,i have,385,okay i have,62
1,have,404,okay i,67,then i have,51
2,then,251,then i,55,loch ness monster,45
3,like,188,flying bird,55,i have an,26
4,with,149,upside down,47,ok i have,20
5,okay,105,ness monster,45,going to left,19
6,to,102,loch ness,45,i have like,16
7,guy,101,going to,37,going to right,15
8,it,92,looks like,33,an upside down,12
9,going,90,got it,32,i have ram,11
10,down,88,to left,31,have flying bird,11
11,triangle,87,rocket ship,29,it i have,11
12,an,82,to right,27,with long tail,10
13,sailboat,80,have an,26,i have guy,10
14,bird,78,kind of,26,it looks like,10
15,one,73,ok i,21,have an arrow,10
16,is,65,triangle body,21,i have dog,9
17,on,63,an arrow,19,got it okay,9
18,flying,61,christmas tree,17,chicken with long,9
19,its,60,have like,16,an arrow going,9
