,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,190,got it,124,got it got,79
1,it,133,it got,80,it got it,76
2,then,41,ive got,29,i got it,8
3,like,37,i got,20,got it ive,8
4,in,32,upside down,12,got it gotcha,8
5,i,30,one is,11,it ive got,8
6,one,30,last one,10,last one is,7
7,with,30,gotcha got,8,gotcha got it,7
8,ive,29,it gotcha,8,in last one,6
9,gotcha,22,it ive,8,got it i,5
10,down,21,gotcha gotcha,7,all right i,4
11,is,16,in last,7,it all right,4
12,right,16,all right,6,it i got,4
13,triangle,16,it i,6,you got it,4
14,guy,15,third one,5,got it all,4
15,weird,15,or something,5,gotcha gotcha got,4
16,on,15,got you,5,it gotcha gotcha,3
17,last,13,then weird,5,done got it,3
18,square,12,dog with,5,apple with bite,3
19,upside,12,going down,4,got it yep,3
