,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,245,i have,132,then i got,22
1,have,140,i got,79,then i have,17
2,got,89,then i,40,loch ness monster,10
3,then,69,upside down,31,one looks like,8
4,like,61,looks like,22,okay i have,7
5,one,39,flying bird,14,i have upside,6
6,with,38,okay i,12,have upside down,6
7,down,34,loch ness,10,i got an,5
8,that,32,ness monster,10,lady i have,5
9,upside,31,one looks,8,that looks like,5
10,it,24,got it,7,an upside down,5
11,is,23,third one,7,flying bird i,5
12,triangle,23,i think,7,dude i have,5
13,to,23,got an,6,i have triangle,4
14,on,22,what i,6,i like to,4
15,looks,22,one is,6,upside down flamingo,4
16,flying,19,have upside,6,got an upside,4
17,bird,18,an arrow,6,i have jt,4
18,an,18,i dont,6,i have giraffe,4
19,sailboat,18,dude i,5,okay i got,4
