,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,37,got it,36,it got it,26
1,got,36,it got,26,got it got,25
2,i,12,i have,8,got it ok,3
3,have,8,it ok,3,then i have,3
4,then,6,then i,3,i got it,3
5,ok,5,i got,3,got it i,2
6,cave,4,it yeah,2,ok got it,2
7,like,3,person like,2,got it yeah,2
8,flamingo,2,it i,2,it yeah i,2
9,in,2,ok i,2,it ok i,2
10,holding,2,ok got,2,it i have,2
11,one,2,yeah i,2,have lady in,1
12,person,2,dress holding,1,lady in dress,1
13,dragon,2,holding handkerchief,1,dress holding handkerchief,1
14,with,2,handkerchief then,1,in dress holding,1
15,triangle,2,in dress,1,corner then i,1
16,yeah,2,lady in,1,holding handkerchief then,1
17,rooster,1,have lady,1,handkerchief then i,1
18,ness,1,corner then,1,i have an,1
19,oh,1,is in,1,have an arrow,1
