,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,3690,i have,1929,then i have,302
1,then,3199,got it,1133,first one is,285
2,got,2591,i got,1032,got it got,239
3,have,2057,upside down,799,got it i,231
4,it,1742,one is,723,it got it,222
5,one,1499,then i,424,loch ness monster,195
6,like,1479,first one,377,okay i have,173
7,with,1462,looks like,316,it i have,141
8,is,1328,flying bird,280,i got it,141
9,down,1225,okay i,265,last one is,140
10,triangle,824,last one,262,my first one,128
11,upside,804,it i,259,third one is,110
12,on,690,it got,252,an upside down,106
13,bird,625,ive got,237,second one is,103
14,right,594,loch ness,217,then last one,96
15,first,584,ness monster,195,i dont know,92
16,in,581,second one,193,got it okay,91
17,dog,579,with two,190,then i got,89
18,its,572,third one,184,i got this,78
19,okay,565,kind of,167,ok i have,77
