,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,248,i have,147,got it got,45
1,got,168,got it,124,it got it,44
2,it,154,i got,47,then i have,25
3,have,153,it got,45,i got it,22
4,then,109,upside down,37,got it i,21
5,like,79,then i,28,loch ness monster,15
6,one,65,one is,28,okay i have,13
7,with,63,it i,23,it i have,12
8,is,61,looks like,23,got it okay,11
9,down,53,okay i,21,my first one,10
10,okay,42,first one,17,first one is,9
11,upside,37,loch ness,17,i dont know,7
12,guy,36,flying bird,16,i have like,7
13,to,34,ness monster,15,is upside down,7
14,dog,34,i dont,13,i have dog,7
15,bird,33,last one,13,it i got,7
16,weird,32,it okay,11,an upside down,7
17,my,31,kind of,11,my next one,6
18,its,31,i think,10,next one is,6
19,that,30,my first,10,i think i,6
