,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,238,got it,166,got it got,57
1,got,227,i have,126,it got it,56
2,it,204,it got,58,got it i,33
3,then,138,i got,56,i got it,24
4,have,135,upside down,43,it i have,23
5,like,78,one is,36,then i have,20
6,is,70,it i,35,got it okay,14
7,one,70,flying bird,24,loch ness monster,14
8,down,67,then i,24,first one is,12
9,with,64,looks like,23,i dont know,11
10,okay,49,loch ness,20,okay i have,10
11,bird,48,ive got,18,my first one,10
12,triangle,45,okay i,17,think i got,8
13,upside,43,it okay,15,i think i,8
14,its,42,first one,14,then upside down,7
15,of,40,ness monster,14,okay i got,7
16,sailboat,37,i think,14,last one is,7
17,on,36,i dont,13,i have an,7
18,dog,34,last one,12,next one is,6
19,flying,33,okay so,12,it okay i,6
