,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,517,i got,227,then i got,48
1,got,314,i have,202,i got this,40
2,have,217,got it,87,loch ness monster,31
3,then,182,then i,81,got it i,28
4,it,123,upside down,69,then i have,28
5,with,103,got this,42,i got it,17
6,down,93,loch ness,32,it i got,16
7,one,86,ness monster,31,so i got,15
8,upside,70,looks like,30,it got it,11
9,like,68,it i,29,got it got,11
10,triangle,66,flying bird,25,lady in dress,10
11,that,58,first one,20,i have flying,10
12,this,57,with two,18,all right i,10
13,to,53,all right,18,i got that,10
14,is,52,alright i,17,alright i have,9
15,right,50,i dont,16,yeah i got,9
16,flying,49,rubber ducky,16,on one foot,8
17,in,47,one is,16,it looks like,8
18,you,45,yeah i,16,i have sailboat,8
19,first,44,so i,15,think i got,8
