,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,253,got it,216,got it got,88
1,got,240,it got,89,it got it,86
2,then,205,i got,71,got it i,66
3,i,163,i have,68,i got it,66
4,like,162,it i,66,it i have,39
5,have,70,upside down,28,got it okay,24
6,one,56,it okay,25,it i got,24
7,with,46,one is,25,okay i got,15
8,my,46,then like,24,it okay i,14
9,okay,41,okay i,20,okay my top,10
10,in,38,has like,19,it has like,10
11,boat,38,my top,17,my top one,9
12,top,37,then person,14,i think i,9
13,person,37,it has,14,think i got,8
14,down,36,arrow pointing,14,i have like,8
15,on,36,then boat,13,top one is,8
16,triangle,35,its like,13,arrow pointing to,7
17,its,35,is like,13,one is like,7
18,is,35,top one,12,i dont know,7
19,has,34,then my,12,got it ok,7
