,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,100,got it,53,okay i have,18
1,got,99,i have,40,got it got,12
2,with,78,upside down,32,it got it,10
3,it,59,ive got,25,ok i have,9
4,i,55,okay i,18,got it okay,6
5,down,52,it got,13,woman in dress,6
6,have,46,one is,13,it okay i,6
7,one,38,all right,12,got it i,5
8,guy,35,one with,10,got it all,5
9,upside,32,in dress,10,all right ive,5
10,dog,31,then guy,9,right ive got,5
11,on,29,flying bird,9,got it ok,5
12,like,29,ok i,9,sailboat got it,5
13,triangle,27,with triangle,9,it all right,5
14,sailboat,27,i got,9,it ive got,5
15,okay,26,dog with,8,got it ive,4
16,right,25,can you,8,i have guy,4
17,bird,25,with two,8,swan flying bird,4
18,ive,25,third one,7,in dress guy,4
19,square,25,rocket ship,7,upside down sailboat,4
