,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,48,got it,41,got it got,21
1,it,43,it got,21,it got it,21
2,got,41,i have,11,got it okay,6
3,one,16,one is,10,first one is,6
4,with,15,upside down,7,okay got it,5
5,i,14,first one,6,my first one,4
6,is,13,it okay,6,i have upside,3
7,down,11,okay got,5,okay i have,3
8,have,11,my first,5,have upside down,3
9,okay,11,second one,5,it okay got,3
10,my,9,holding triangle,4,then upside down,3
11,of,7,kind of,4,one is slope,2
12,like,7,house with,3,then square with,2
13,first,7,then square,3,house with no,2
14,upside,7,left then,3,square with triangles,2
15,guy,7,with no,3,with no windows,2
16,second,6,then house,3,my second one,2
17,right,6,all right,3,right got it,2
18,square,5,then sideways,3,um i have,2
19,triangle,5,then my,3,it okay i,2
