,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,3696,got it,2757,got it got,1396
1,it,3164,it got,1415,it got it,1366
2,i,2711,i have,1267,got it i,397
3,then,1690,i got,925,i got it,319
4,have,1351,upside down,476,then i have,242
5,like,812,it i,421,it i have,215
6,with,797,one is,348,got it okay,181
7,down,714,then i,324,it i got,136
8,one,711,okay i,212,first one is,133
9,is,693,it okay,187,okay i have,102
10,upside,479,first one,171,okay i got,92
11,okay,464,looks like,153,loch ness monster,89
12,triangle,463,flying bird,141,okay got it,88
13,on,397,i think,123,it okay i,81
14,its,361,ive got,118,i think i,72
15,right,334,last one,112,an upside down,70
16,that,333,all right,105,think i got,69
17,of,331,loch ness,105,my first one,68
18,to,326,third one,96,got it ok,63
19,guy,316,okay got,94,then i got,61
