,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,209,i have,112,got it got,33
1,got,169,got it,105,it got it,32
2,it,128,i got,59,got it i,23
3,have,118,it got,33,then i have,23
4,then,96,then i,31,it i have,16
5,down,52,upside down,27,i got it,14
6,with,48,it i,24,loch ness monster,11
7,like,45,flying bird,20,an upside down,9
8,triangle,32,loch ness,15,i have an,8
9,flying,30,looks like,13,i dont know,7
10,dog,28,okay i,12,i think i,7
11,bird,28,ness monster,11,okay i have,6
12,upside,27,to right,11,rocket ship going,6
13,is,27,i dont,10,have an upside,6
14,going,26,i think,10,i have dog,6
15,guy,25,boat then,9,all right i,5
16,sailboat,24,christmas tree,9,right i got,5
17,okay,24,an upside,9,think i got,5
18,on,24,going to,9,it then i,4
19,boat,24,have an,8,okay i got,4
