,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,108,got it,88,got it got,37
1,it,101,it got,37,it got it,35
2,is,60,i have,30,first one is,18
3,i,59,one is,23,my first one,16
4,then,58,first one,22,got it i,11
5,one,46,upside down,22,it i have,7
6,have,33,my first,16,got it okay,5
7,with,31,i got,13,last one is,5
8,down,30,last one,13,got it alright,5
9,first,27,third is,13,it alright my,4
10,like,25,it i,12,alright my first,4
11,boat,23,second is,8,i got it,4
12,upside,22,looks like,7,it looks like,4
13,in,22,lady in,5,last one was,4
14,my,20,it okay,5,lady in dress,4
15,third,19,it alright,5,got it yeah,3
16,of,18,with triangle,5,upside down boat,3
17,person,17,i think,4,boat got it,3
18,triangle,17,alright my,4,right side up,3
19,second,17,then third,4,duck flying bird,3
