,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,271,got it,108,got it got,35
1,it,134,ive got,108,it got it,29
2,then,111,upside down,38,it ive got,22
3,ive,108,it got,36,got it ive,22
4,i,100,i got,36,loch ness monster,22
5,with,91,i have,33,bird with tail,18
6,this,67,got this,32,ive got this,17
7,bird,67,loch ness,24,i got this,14
8,down,64,it ive,22,okay ive got,11
9,like,48,ness monster,22,then i have,11
10,up,44,bird with,21,got it i,10
11,flying,42,with tail,21,so ive got,10
12,to,41,bird flying,17,an upside down,9
13,guy,41,flying bird,16,fish swimming down,9
14,sailboat,39,then i,15,right side up,8
15,have,39,fish swimming,14,i got it,8
16,boat,38,christmas tree,13,so i got,8
17,upside,38,okay ive,11,bird flying up,7
18,an,37,okay so,11,got it okay,7
19,is,36,so i,11,ive got ram,7
