,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,278,i have,205,got it i,72
1,have,208,got it,155,it i have,61
2,it,196,it i,76,it got it,60
3,got,163,it got,61,got it got,58
4,then,92,upside down,32,then i have,29
5,with,69,then i,29,an upside down,27
6,like,54,an upside,27,i dont know,20
7,guy,51,i dont,23,i have an,20
8,down,50,dont know,21,have an upside,18
9,an,45,have an,20,i have guy,15
10,triangle,35,i got,18,i got it,14
11,of,35,looks like,17,i have dog,12
12,its,33,have guy,15,coming out of,9
13,upside,32,out of,13,i have weird,9
14,um,32,of it,12,out of it,9
15,thing,31,have dog,12,i have sideways,9
16,boat,28,looking thing,11,i have boat,8
17,dog,27,coming out,10,it i got,8
18,one,26,palm tree,10,i have big,7
19,to,25,guy running,10,i have house,7
