,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,62,got it,51,got it got,18
1,it,55,i have,33,it got it,18
2,i,50,it got,18,it i have,8
3,then,41,i got,11,got it i,8
4,have,34,all right,9,i got it,6
5,like,29,it i,9,got it okay,5
6,okay,17,okay i,8,got it ok,5
7,one,17,one is,8,then i have,4
8,with,16,it okay,5,all right i,4
9,is,16,triangle body,5,i have like,4
10,triangle,16,looks like,5,okay i have,4
11,right,15,it ok,5,think i got,3
12,its,13,right i,4,i think i,3
13,all,12,have like,4,okay i got,3
14,guy,11,flying bird,4,okay got it,3
15,down,10,then i,4,swan flying bird,2
16,sailboat,10,upside down,4,got it christmas,2
17,so,9,i think,4,i have bear,2
18,an,9,right side,3,swan flamingo with,2
19,body,8,think i,3,flamingo with broken,2
