,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,40,i have,32,it i have,4
1,then,36,kind of,7,i have guy,4
2,have,34,got it,7,out of it,4
3,like,26,okay i,5,okay i have,3
4,it,21,have guy,4,then i have,3
5,its,14,it i,4,kind of looks,3
6,with,13,out of,4,i have stingray,3
7,of,12,its like,4,loch ness monster,3
8,one,10,of it,4,i have boat,3
9,thing,10,upside down,4,i got it,3
10,on,9,cut out,4,got it i,3
11,kind,7,my last,3,rectangle with triangle,2
12,sailboat,7,ness monster,3,with triangle cut,2
13,got,7,then like,3,i have like,2
14,my,6,looks like,3,cut out of,2
15,out,6,thing i,3,coming out of,2
16,in,6,it has,3,kind of like,2
17,to,6,of looks,3,thing got it,2
18,okay,6,i got,3,okay i got,2
19,down,6,thing thats,3,of looks like,2
