,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,4972,i have,2797,then i have,469
1,then,4370,i got,1300,first one is,379
2,have,2982,upside down,1136,loch ness monster,249
3,got,2210,one is,993,okay i have,239
4,like,2060,then i,650,last one is,188
5,one,2019,first one,500,my first one,183
6,with,2008,looks like,427,an upside down,159
7,is,1856,flying bird,376,third one is,152
8,down,1725,last one,352,second one is,140
9,triangle,1172,okay i,341,then i got,134
10,upside,1143,ive got,304,i dont know,127
11,it,1087,loch ness,282,then last one,125
12,on,970,third one,256,i have an,112
13,bird,842,second one,253,then upside down,112
14,its,827,ness monster,249,all right i,105
15,right,806,got it,249,so i got,103
16,dog,791,with two,246,i have like,102
17,guy,784,kind of,214,i have dog,100
18,in,778,my first,214,ok i have,98
19,first,758,all right,213,lady in dress,97
