,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,4077,got it,3641,got it got,2301
1,it,3819,it got,2326,it got it,2286
2,i,1429,i got,657,i got it,399
3,then,519,i have,399,got it i,350
4,have,426,it i,359,got it okay,200
5,okay,313,it okay,202,it i got,153
6,with,251,upside down,139,okay got it,115
7,like,231,okay i,134,it i have,108
8,down,214,okay got,120,it okay i,86
9,that,194,i think,107,think i got,85
10,one,191,then i,98,it okay got,84
11,is,165,think i,94,i think i,83
12,you,148,one is,78,then i have,76
13,upside,140,yeah i,69,okay i got,75
14,yeah,139,it ok,65,got it ok,62
15,boat,128,it yeah,63,got it yeah,62
16,think,127,got that,56,gotcha got it,55
17,right,122,gotcha got,55,got it gotcha,52
18,to,119,it gotcha,52,got it yep,47
19,of,117,all right,51,it gotcha got,39
