,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,459,i have,226,then i have,54
1,have,243,i got,145,i got this,35
2,then,229,then i,84,loch ness monster,28
3,got,224,upside down,72,then i got,26
4,like,166,got this,39,okay i have,25
5,down,116,flying bird,36,an upside down,23
6,with,96,looks like,35,i have an,20
7,it,77,okay i,31,i have like,16
8,upside,74,loch ness,29,ok i have,14
9,this,74,ness monster,28,so i got,12
10,triangle,70,ive got,24,i dont know,10
11,one,69,an upside,24,then last one,9
12,to,66,going to,21,i have this,9
13,is,65,have an,21,going to left,9
14,sailboat,61,last one,18,have an upside,9
15,guy,60,to right,18,last one is,9
16,that,58,one is,18,yo i got,8
17,an,57,have like,17,upside down sailboat,8
18,on,57,i dont,17,going to right,8
19,sideways,56,got it,17,it looks like,8
