,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,113,got it,102,got it got,66
1,it,105,it got,66,it got it,63
2,i,35,i got,17,i got it,9
3,have,12,i have,11,got it okay,7
4,okay,10,it okay,7,okay got it,6
5,yep,8,okay got,6,got it ok,4
6,like,8,yep yep,4,i have guy,4
7,ok,6,it ok,4,got it i,4
8,you,6,it i,4,it okay got,4
9,then,6,have guy,4,got it gotcha,3
10,yeah,5,yeah i,3,then i have,3
11,down,5,ok got,3,ok got it,3
12,to,5,then i,3,i got fat,2
13,that,5,it gotcha,3,it got you,2
14,gotcha,4,i think,2,gotcha got it,2
15,guy,4,ok i,2,it ok i,2
16,one,3,upside down,2,i think i,2
17,left,3,have butler,2,on one foot,2
18,thats,3,straight up,2,yep yep yep,2
19,dog,3,got fat,2,i have butler,2
