,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,213,got it,203,it got it,137
1,got,209,it got,138,got it got,136
2,i,90,i have,45,got it i,41
3,have,46,it i,41,it i have,21
4,then,14,i got,23,i got it,19
5,okay,12,i dont,8,it i got,14
6,down,12,it okay,8,okay got it,8
7,boat,10,okay got,8,got it okay,7
8,with,10,upside down,7,i dont know,6
9,thing,9,dont know,6,an upside down,6
10,like,8,an upside,6,it okay got,5
11,an,8,it ok,5,got it ok,5
12,dont,8,then i,4,have an upside,4
13,guy,8,sea monster,4,i have an,4
14,um,7,ok i,4,then i have,4
15,tree,7,palm tree,4,have palm tree,3
16,ok,7,i clicked,4,i have guy,3
17,that,7,have an,4,done i dont,3
18,upside,7,okay i,4,down i have,3
19,to,7,with two,4,i have bird,3
