,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,with,62,upside down,34,on its hind,9
1,down,52,on its,16,its hind legs,9
2,one,46,hind legs,11,woman in dress,7
3,then,45,one is,11,on its side,6
4,on,40,its hind,9,upside down flamingo,5
5,upside,34,bird flying,8,coming out of,4
6,its,31,holding triangle,8,on right side,4
7,in,23,one with,8,string of triangles,4
8,triangle,22,in dress,8,with two triangles,4
9,is,22,woman in,7,with big ears,3
10,bird,19,with two,7,sailboat upside down,3
11,left,17,on right,7,upside down boat,3
12,legs,16,third one,7,dog on its,3
13,of,15,last one,6,then dog with,3
14,right,15,its side,6,boat with tower,3
15,up,15,going down,5,loch ness monster,3
16,like,14,two triangles,5,flamingo upside down,3
17,turkey,14,with head,5,in bottom left,3
18,head,13,then dog,5,rooster upside down,3
19,flamingo,13,right side,5,chimney upside down,3
