,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,160,got it,151,got it got,111
1,got,157,it got,113,it got it,111
2,i,21,it okay,11,got it okay,11
3,okay,14,okay got,9,okay got it,9
4,then,8,i got,8,i got it,8
5,have,7,it i,5,it okay got,7
6,one,7,okay i,4,got it i,5
7,on,7,it have,3,it okay i,4
8,that,7,upside down,3,got it it,3
9,this,7,two feet,3,got it have,3
10,to,6,it it,3,think i got,2
11,down,6,i have,3,left got it,2
12,flying,6,flying bird,3,to left got,2
13,which,5,duck flying,2,going to left,2
14,like,5,you got,2,i love it,2
15,with,5,thank you,2,love it got,2
16,bird,4,to left,2,thank you got,2
17,was,4,hand puppet,2,you got it,2
18,theres,4,going to,2,got it yeah,2
19,going,4,it yeah,2,ok i think,2
