,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,140,one is,46,first one is,34
1,is,58,first one,35,then i have,10
2,one,55,i got,24,my first one,7
3,with,53,upside down,21,loch ness monster,7
4,i,42,i have,18,then upside down,6
5,first,39,dog with,13,all right i,6
6,got,32,with triangle,10,last one is,6
7,down,29,then i,10,right i got,6
8,dog,25,then dog,9,is weird looking,5
9,upside,21,my first,8,then last one,5
10,have,20,last one,8,one is weird,5
11,triangle,18,loch ness,7,then dog with,5
12,right,18,ness monster,7,upside down guy,5
13,sailboat,17,all right,7,ness monster then,4
14,in,16,with two,7,lady in dress,4
15,on,15,right i,6,guy with triangle,4
16,guy,15,then upside,6,is upside down,4
17,weird,15,left then,6,down guy with,4
18,left,14,guy with,6,dog with triangle,4
19,my,14,got it,6,one is dog,3
