,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,108,i have,61,then i have,28
1,i,85,one is,51,first one is,24
2,one,70,then i,30,my first one,13
3,is,68,first one,26,my next one,9
4,have,62,upside down,26,next one is,9
5,like,53,my first,15,i dont know,9
6,my,49,my next,12,i have like,7
7,with,46,dont know,9,last one is,6
8,down,35,next one,9,okay i have,5
9,first,30,i dont,9,one is person,5
10,upside,26,second one,8,second one is,5
11,triangle,26,looks like,7,my last one,5
12,on,25,have like,7,an upside down,4
13,person,25,last one,7,my second one,4
14,it,21,okay i,7,my top one,4
15,or,17,with two,6,i have sailboat,4
16,boat,16,person with,6,out of it,4
17,its,16,of it,6,i have person,4
18,in,14,then boat,6,one is giant,4
19,giant,13,boat then,6,on one foot,3
