,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,246,got it,230,got it got,149
1,it,237,it got,149,it got it,148
2,i,68,i got,46,i got it,38
3,then,53,one is,25,got it i,19
4,one,34,it i,19,got it okay,17
5,with,27,first one,17,it i got,16
6,okay,27,it okay,17,first one is,14
7,is,27,upside down,17,okay i got,12
8,down,23,okay i,16,got it first,9
9,first,19,i have,10,got it yep,8
10,upside,17,it first,9,okay got it,8
11,like,14,okay got,8,it first one,8
12,have,11,it yep,8,it okay i,8
13,yep,11,think i,7,think i got,7
14,triangle,10,i think,7,it okay got,7
15,of,10,third one,6,i think i,6
16,gotcha,9,then i,6,got it gotcha,5
17,its,9,my first,5,my first one,5
18,in,8,with square,5,third one is,5
19,on,8,second one,5,then i have,5
