,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,is,641,one is,391,first one is,240
1,one,462,first one,253,my first one,119
2,then,414,upside down,129,last one is,90
3,first,282,my first,120,is upside down,58
4,my,272,last one,115,my last one,54
5,with,238,third is,98,then i have,43
6,down,176,second is,85,next one is,36
7,last,135,is upside,58,one is upside,34
8,upside,129,my last,56,my next one,33
9,second,122,i have,53,then last one,31
10,third,119,then i,44,then my last,31
11,in,101,weird looking,42,lady in dress,24
12,triangle,87,then my,42,is weird looking,24
13,on,87,looks like,37,my third is,21
14,person,73,then last,37,in dress with,20
15,i,70,my next,36,with no arms,19
16,dog,63,next one,36,then upside down,19
17,looking,60,dog with,35,one is weird,19
18,sailboat,59,with two,30,dress with no,16
19,left,58,lady in,28,second one is,16
