,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,183,got it,182,it got it,133
1,it,183,it got,133,got it got,132
2,i,32,it okay,28,got it okay,28
3,okay,31,i have,19,okay got it,15
4,then,21,okay got,15,it okay got,13
5,have,20,okay i,14,it okay i,13
6,with,11,it i,10,okay i have,11
7,down,9,i got,7,got it i,10
8,triangle,7,upside down,5,i got it,6
9,turkey,7,ok i,4,it i have,4
10,ok,7,it ok,4,got it ok,4
11,guy,6,right got,3,right got it,3
12,dog,5,ok got,3,ok got it,3
13,tree,5,i pressed,3,done got it,3
14,upside,5,pressed done,3,i pressed done,3
15,one,4,done got,3,it i pressed,3
16,done,4,christmas tree,3,okay i got,3
17,boat,4,with triangle,3,it ok i,3
18,holding,4,triangle then,3,slice cut off,2
19,is,3,then dog,3,i have turkey,2
