,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,16,got it,14,got it got,4
1,it,15,it got,4,it got it,4
2,i,5,i got,4,i got it,3
3,im,3,push done,2,push done got,2
4,in,3,it ok,2,yeah i got,2
5,push,2,yeah i,2,too got it,1
6,too,2,done got,2,lady in shoe,1
7,one,2,too got,1,old lady in,1
8,done,2,old lady,1,in old lady,1
9,ok,2,in old,1,lives in old,1
10,do,2,lives in,1,dude lives in,1
11,you,2,dude lives,1,it dude lives,1
12,sure,2,it dude,1,got it dude,1
13,yeah,2,no im,1,no im not,1
14,lady,1,one too,1,one too got,1
15,dude,1,got that,1,in shoe or,1
16,that,1,it yeah,1,got that one,1
17,lives,1,first got,1,i got that,1
18,old,1,is first,1,it yeah i,1
19,no,1,boat is,1,got it yeah,1
