,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,123,i have,103,then i have,16
1,have,106,ive got,23,i have guy,8
2,then,65,upside down,19,loch ness monster,7
3,with,53,then i,16,i dont know,6
4,like,40,looks like,15,i have dog,6
5,got,36,kind of,8,i have weird,6
6,down,36,have guy,8,okay i have,6
7,guy,32,this weird,8,fish swimming down,6
8,it,25,i dont,8,i have i,5
9,ive,24,looking thing,8,it looks like,5
10,thing,23,fish swimming,8,i have boat,5
11,of,21,loch ness,7,of looks like,5
12,triangle,21,ness monster,7,kind of looks,5
13,sideways,21,an arrow,7,bird with tail,5
14,an,20,i guess,7,i have house,5
15,weird,19,got it,7,guy i have,5
16,upside,19,dont know,6,its hind legs,4
17,boat,18,okay i,6,with its mouth,4
18,facing,18,have dog,6,on its hind,4
19,dog,17,bird with,6,i have like,4
